owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
ljharb,qs,16.9,17.5,73.8,48.0,34.4,19.4,19.8,68.2,76.9,75.1,98.4,22.4,42.4,27.0,65.2,35.45,44.2,39.05,39.25,37.916666666666664,720.5,795.5,B,B
nodeca,js-yaml,33.8,7.9,50.0,57.0,26.4,5.9,0.0,72.2,72.6,78.4,95.2,42.5,53.4,10.9,47.9,26.125,39.4,37.175,38.675,33.99166666666667,633.0,685.0,B,B
browserify,resolve,27.2,21.5,55.1,64.7,29.3,23.8,2.8,60.3,40.4,58.6,98.3,43.9,46.5,15.9,54.5,29.049999999999997,40.0,42.125,40.2,37.125,702.0,708.0,B,B
websockets,ws,38.1,27.1,71.0,35.5,41.5,30.6,23.6,85.5,90.4,91.3,93.0,67.2,43.2,24.6,79.6,45.3,52.4,42.925,53.650000000000006,47.291666666666664,906.0,928.0,A,A
nodeca,argparse,57.5,11.2,24.4,57.2,23.5,4.0,0.0,50.3,32.8,34.2,95.4,38.8,47.5,10.8,35.9,19.45,32.1,37.575,33.25,30.09166666666667,536.0,523.0,C,C
sindresorhus,pify,32.1,0.0,64.1,75.5,18.5,0.0,0.0,51.4,53.3,37.2,93.9,21.3,38.6,0.0,48.8,17.475,32.4,42.925,27.175,29.191666666666666,507.0,531.5,C,C
postcss,postcss,34.8,23.0,48.9,51.5,44.6,33.9,34.5,83.6,95.0,86.8,94.1,58.5,48.6,32.5,76.2,49.15,53.3,39.55,53.95,47.54999999999999,913.0,942.5,A,A
form-data,form-data,21.9,0.0,22.4,47.1,26.0,7.3,0.0,67.9,59.0,61.9,93.4,57.5,46.7,0.0,61.4,25.3,34.5,22.85,41.4,29.850000000000005,529.0,586.5,C,C
moxystudio,node-cross-spawn,11.7,0.0,25.9,34.9,18.6,0.0,0.0,28.6,47.1,34.8,9.6,22.9,63.5,0.0,30.9,11.8,21.1,18.125,29.325000000000003,19.75,156.0,167.5,F,F
sindresorhus,slash,29.5,0.0,37.6,75.8,20.6,0.0,0.0,46.6,26.1,29.9,93.7,36.5,36.1,5.2,42.8,16.8,29.3,35.724999999999994,30.150000000000002,27.558333333333334,433.0,419.5,C,C
ashtuchkin,iconv-lite,16.8,2.4,28.9,49.6,27.6,7.7,0.0,66.1,62.7,61.4,98.6,41.9,49.0,0.0,45.1,25.35,33.4,24.425,34.0,27.925,452.5,560.5,C,C
micromatch,micromatch,15.6,4.7,62.9,37.8,33.3,6.6,8.7,59.1,60.8,50.1,96.9,28.8,36.7,5.5,32.2,26.925,32.6,30.25,25.8,27.65833333333333,442.0,538.5,C,C
sindresorhus,make-dir,19.8,11.4,50.8,75.8,31.9,11.1,19.6,40.7,32.6,22.5,94.2,13.6,43.1,16.2,43.7,25.825000000000003,33.8,39.45,29.150000000000002,31.475000000000005,571.0,571.0,C,C
sindresorhus,globby,36.6,19.2,60.4,73.7,37.1,11.2,19.7,60.8,60.0,49.3,93.2,40.5,36.2,18.8,67.0,32.199999999999996,42.9,47.475,40.625,40.1,770.0,768.5,B,B
broofa,mime,40.5,29.1,49.3,33.0,34.4,29.6,8.8,67.8,57.9,66.2,98.2,48.8,53.3,15.0,39.2,35.150000000000006,41.5,37.975,39.075,37.4,712.0,740.0,B,B
minimistjs,minimist,21.9,11.6,42.5,2.1,36.3,18.2,14.8,37.4,31.1,19.4,98.7,0.2,40.3,25.4,51.5,26.674999999999997,29.8,19.525,29.349999999999998,25.183333333333334,342.0,436.0,D,C
feross,buffer,28.7,21.1,43.5,66.0,41.6,23.6,32.3,57.7,54.6,58.4,89.4,28.4,36.9,25.6,53.6,38.8,42.2,39.825,36.125,38.25,730.0,753.5,B,B
jprichardson,node-jsonfile,25.8,0.0,17.3,83.3,22.6,0.0,0.0,37.2,49.1,61.7,1.7,36.4,6.6,0.0,54.7,14.950000000000001,24.2,31.6,24.425,23.658333333333335,275.0,252.0,D,D
visionmedia,bytes.js,17.5,0.0,15.4,60.0,18.4,0.0,0.0,25.0,31.6,28.3,1.8,38.3,9.5,0.7,58.1,10.85,19.3,23.225,26.65,20.241666666666667,166.0,141.5,F,F
jshttp,http-errors,16.8,0.0,24.4,57.3,25.8,4.1,0.0,53.8,52.8,42.8,98.0,21.6,42.5,5.8,45.4,20.925,29.9,24.625,28.825000000000003,24.791666666666668,321.0,439.5,D,C
isaacs,node-graceful-fs,22.0,0.0,56.6,86.2,25.8,4.2,0.0,38.5,49.9,48.4,12.2,43.4,48.5,3.2,49.5,17.125,30.8,41.2,36.15,31.491666666666664,572.0,475.0,C,C
webpack,loader-utils,52.3,14.8,29.7,58.9,32.0,15.3,14.9,58.0,40.3,49.6,90.9,51.4,76.1,11.6,67.4,30.05,42.4,38.925,51.625,40.199999999999996,771.0,759.5,B,B
caolan,async,43.9,32.8,8.5,80.4,29.4,32.6,30.9,83.9,94.7,91.9,93.3,55.6,83.9,30.0,70.7,44.2,54.5,41.4,60.050000000000004,48.550000000000004,930.0,962.5,A,A
thlorenz,convert-source-map,22.4,10.6,62.3,77.6,11.6,4.4,1.7,44.1,19.0,29.8,94.4,33.4,39.8,1.9,50.6,15.450000000000001,31.0,43.224999999999994,31.425000000000004,30.03333333333333,532.0,481.5,C,C
cosmiconfig,cosmiconfig,39.7,24.2,79.5,32.2,39.7,31.2,24.9,56.5,66.6,46.0,92.0,21.4,61.3,26.6,69.0,38.075,46.2,43.900000000000006,44.575,42.18333333333334,816.0,829.5,A,A
dougwilson,nodejs-depd,16.6,0.0,36.2,62.9,18.4,0.0,0.0,49.4,26.0,37.7,98.1,35.8,46.6,0.0,1.0,16.95,25.1,28.925,20.85,22.241666666666664,222.0,274.5,D,D
facebook,regenerator,28.1,33.9,57.1,46.7,33.3,34.5,29.2,57.6,66.9,82.9,33.3,47.4,35.4,29.2,63.0,38.65,43.5,41.45,43.75,41.28333333333333,799.0,784.0,B,B
sindresorhus,strip-json-comments,29.2,4.9,56.8,76.5,23.1,4.2,15.0,48.6,36.1,27.6,93.8,36.8,37.4,10.2,48.2,22.725,34.1,41.85,33.15,32.574999999999996,599.0,576.0,C,C
jonschlinkert,isobject,10.4,0.0,37.2,81.3,10.8,0.0,0.0,36.0,15.2,14.3,90.1,24.5,44.9,0.0,42.2,11.7,25.2,32.225,27.9,23.941666666666663,279.0,279.0,D,D
jshttp,mime-types,30.8,3.6,39.3,57.0,17.5,9.7,0.0,59.5,50.0,43.5,99.2,45.4,39.4,8.8,45.0,21.675,33.1,32.675,34.65,29.666666666666668,522.0,555.0,C,C
node-fetch,node-fetch,26.7,17.2,92.7,9.6,24.9,17.6,1.8,70.9,77.6,81.6,82.1,42.2,38.5,9.4,77.7,28.8,41.0,36.55,41.95,35.766666666666666,669.0,732.0,B,B
pillarjs,path-to-regexp,31.3,2.9,40.2,52.8,11.9,5.8,1.9,71.7,76.3,66.5,95.5,48.5,73.2,4.8,60.7,22.825000000000003,39.1,31.8,46.800000000000004,33.80833333333334,628.0,679.0,B,B
jshttp,cookie,44.4,24.2,42.8,57.5,16.5,19.0,15.5,61.3,49.8,48.9,96.0,50.5,38.9,17.6,54.6,28.075,39.4,42.224999999999994,40.4,36.9,695.0,685.0,B,B
evanw,node-source-map-support,4.0,0.0,21.3,63.9,11.4,3.7,0.0,39.5,58.4,59.6,1.9,38.0,46.5,0.0,64.0,13.65,25.9,22.3,37.125,24.358333333333334,298.0,300.0,D,D
paulmillr,chokidar,31.7,8.6,40.8,36.3,28.5,11.2,15.6,75.0,80.0,71.7,97.8,50.3,54.2,18.1,71.6,32.575,42.7,29.349999999999998,48.55,36.824999999999996,693.0,763.5,B,B
tooTallNate,proxy-agents,37.6,18.5,2.7,78.4,47.8,31.7,35.0,38.4,41.1,56.1,2.7,53.6,26.3,35.0,45.6,38.224999999999994,36.6,34.300000000000004,40.125,37.550000000000004,715.0,625.5,B,B
isaacs,once,8.3,1.1,14.6,87.0,24.8,2.3,9.8,44.3,21.6,19.2,99.3,37.0,80.2,6.6,20.5,20.299999999999997,30.0,27.75,36.075,28.041666666666668,457.0,444.5,C,C
browserslist,browserslist,28.7,19.5,38.9,15.0,47.1,27.4,34.1,67.9,83.0,74.2,94.7,19.8,49.7,29.1,70.2,44.125,44.8,25.525,42.2,37.28333333333334,705.0,810.0,B,A
mrmlnc,fast-glob,47.8,19.1,82.4,43.5,39.4,34.6,17.8,54.7,59.3,41.1,91.9,26.5,40.1,28.3,20.8,36.62500000000001,40.8,48.199999999999996,28.925,37.916666666666664,720.5,729.5,B,B
sindresorhus,path-is-absolute,32.1,0.0,67.5,74.0,21.5,0.0,0.0,35.2,11.8,11.8,99.0,18.4,43.8,0.0,4.3,14.175,25.5,43.4,16.625,24.733333333333334,318.0,289.5,D,D
sindresorhus,ansi-escapes,6.3,1.8,84.2,74.1,21.9,4.0,1.1,44.1,32.1,27.4,91.6,25.4,41.3,7.2,40.0,17.775,31.1,41.599999999999994,28.475,29.28333333333333,509.0,487.0,C,C
jquery,esprima,13.5,0.0,42.3,61.3,20.5,0.0,0.0,71.7,74.2,77.4,93.6,41.6,81.6,18.2,51.4,23.05,39.6,29.275,48.199999999999996,33.50833333333333,620.0,694.5,B,B
npm,ini,15.7,25.1,67.8,61.6,25.9,30.4,24.5,59.9,39.6,57.8,92.8,49.4,38.7,31.9,55.4,35.175,42.8,42.55,43.85,40.525,783.0,765.5,B,B
salesforce,tough-cookie,31.7,30.4,76.3,45.4,39.5,38.1,27.9,58.3,43.7,50.5,91.5,47.6,51.7,30.4,75.8,40.95,48.0,45.95,51.375,46.09166666666667,885.0,852.0,A,A
jonschlinkert,is-plain-object,11.9,0.0,47.1,81.2,17.8,0.0,0.0,38.1,18.1,18.4,89.2,26.9,45.4,0.0,33.1,13.975000000000001,26.3,35.05,26.35,25.125,337.5,313.0,D,D
alexei,sprintf.js,7.1,6.9,59.4,35.0,23.7,17.2,16.0,39.0,58.0,62.4,2.8,33.0,46.4,8.0,54.4,23.975,30.3,27.1,35.45,28.84166666666667,491.0,459.0,C,C
mafintosh,pump,8.9,0.0,19.7,69.8,17.8,0.0,0.0,48.5,44.5,30.7,88.7,30.0,33.4,0.0,26.5,16.575,24.7,24.6,22.475,21.216666666666665,185.0,263.5,F,D
stream-utils,raw-body,26.3,10.0,43.8,54.5,17.8,3.8,0.0,46.3,28.3,31.6,95.9,29.2,41.0,10.5,40.2,16.974999999999998,29.4,33.65,30.225,26.95,410.0,423.5,C,C
sindresorhus,is-wsl,33.9,7.0,7.1,74.8,23.8,9.8,16.1,34.0,19.7,10.8,92.6,13.1,38.7,12.5,37.4,20.924999999999997,27.7,30.7,25.424999999999997,25.683333333333334,365.0,362.0,D,D
yahoo,serialize-javascript,5.7,29.0,35.8,54.1,27.8,20.5,27.8,61.8,61.6,58.5,90.7,36.3,69.2,20.9,57.6,34.475,41.9,31.15,46.0,37.208333333333336,704.0,748.0,B,B
sindresorhus,read-pkg,33.4,3.0,19.1,76.3,19.0,6.1,1.2,36.3,18.9,16.6,85.5,24.3,35.9,8.5,43.5,15.65,26.8,32.95,28.05,25.55,358.0,334.0,D,D
indutny,bn.js,12.4,10.4,37.8,73.3,12.4,0.8,1.3,54.4,48.6,55.2,82.8,31.1,32.8,2.2,62.6,17.224999999999998,31.3,33.474999999999994,32.175000000000004,27.625,439.0,495.5,C,C
inikulin,parse5,43.1,32.0,23.6,42.9,27.0,41.6,24.6,66.5,65.6,57.2,89.3,53.7,70.5,34.1,50.1,39.925,46.1,35.4,52.099999999999994,42.474999999999994,824.0,827.5,A,A
zloirock,core-js,35.0,29.7,78.3,22.7,35.4,39.0,31.2,82.7,92.4,87.2,91.3,60.0,79.0,38.2,43.3,47.074999999999996,53.2,41.425,55.125,47.875,917.5,940.0,A,A
follow-redirects,follow-redirects,33.4,14.5,39.9,48.8,27.1,21.1,16.2,57.0,33.9,47.7,92.5,53.9,74.8,17.2,40.8,30.349999999999998,39.2,34.15,46.675,37.05833333333333,701.0,681.0,B,B
sindresorhus,object-assign,0.0,0.1,43.6,76.7,11.2,0.3,1.4,52.2,44.8,36.2,98.8,29.1,46.2,2.3,29.4,16.275000000000002,28.1,30.1,26.75,24.375,300.0,377.0,D,D
eemeli,yaml,34.1,23.7,46.3,37.1,30.4,21.9,17.7,50.7,47.5,39.9,88.1,27.5,55.2,26.1,37.6,30.175,37.3,35.300000000000004,36.6,34.025000000000006,634.0,644.0,B,B
kpdecker,jsdiff,41.2,27.3,66.0,74.5,20.6,37.2,34.2,48.2,75.0,70.0,2.9,45.1,57.3,19.2,65.2,35.05,44.6,52.25,46.699999999999996,44.666666666666664,854.0,806.5,A,A
beatgammit,base64-js,11.3,0.0,13.9,74.3,1.4,0.0,0.0,60.7,42.8,67.7,90.8,41.5,35.5,0.0,50.3,15.525,28.7,24.875,31.825,24.075,286.0,401.0,D,C
expressjs,body-parser,26.1,3.3,53.0,58.0,4.7,0.5,0.0,73.2,70.8,75.3,95.8,50.8,38.8,10.1,50.9,19.6,35.8,35.099999999999994,37.64999999999999,30.78333333333333,556.0,607.5,C,B
raszi,node-tmp,27.0,7.2,40.5,57.4,2.0,10.7,1.5,31.1,39.4,39.2,3.0,42.8,40.2,9.3,59.5,11.325,26.3,33.025,37.95,27.433333333333334,430.0,313.0,C,D
motdotla,dotenv,51.9,31.6,78.7,74.7,26.1,32.1,34.8,71.9,88.4,77.8,90.4,31.1,79.0,32.8,69.8,41.224999999999994,55.7,59.224999999999994,53.175000000000004,51.208333333333336,970.0,977.0,A,A
sindresorhus,open,23.2,12.4,44.7,76.5,18.0,18.9,17.3,62.6,63.0,54.9,88.0,44.4,34.1,18.9,60.5,29.2,39.4,39.2,39.475,35.958333333333336,674.0,685.0,B,B
sindresorhus,read-pkg-up,35.3,3.9,44.8,76.5,4.4,7.7,8.3,22.9,23.1,16.5,28.3,23.6,16.8,9.2,37.2,10.825,22.7,40.125,21.700000000000003,24.21666666666667,291.0,205.5,D,D
ljharb,object.assign,34.0,3.8,34.2,48.5,4.5,7.7,8.4,37.4,15.4,15.9,92.7,25.8,41.9,13.1,9.2,14.5,23.9,30.125,22.499999999999996,22.375,227.0,243.0,D,D
browserify,node-util,9.7,0.0,33.1,64.4,4.8,0.0,0.0,26.0,22.4,36.7,9.4,35.5,16.2,0.0,34.1,7.7,17.8,26.8,21.45,18.650000000000002,133.0,126.5,F,F
pillarjs,finalhandler,14.0,5.1,39.5,52.8,0.4,7.0,0.0,46.0,21.0,26.7,96.5,39.9,46.3,0.7,10.9,13.35,23.9,27.85,24.45,21.883333333333336,215.0,243.0,D,D
Gozala,events,16.3,0.0,29.9,76.5,0.4,0.1,0.0,61.6,51.4,52.0,92.1,51.0,38.3,0.0,56.7,15.525,31.0,30.675,36.5,27.566666666666666,434.5,481.5,C,C
sindresorhus,figures,31.8,9.0,51.0,76.2,5.5,16.3,15.1,41.7,36.0,16.2,82.9,31.7,35.7,17.4,51.2,19.65,32.7,42.0,34.0,31.883333333333336,584.0,543.5,C,C
sindresorhus,decamelize,19.5,0.0,41.0,76.5,0.5,0.0,0.0,38.9,22.1,17.7,88.8,27.1,39.0,0.0,51.4,9.85,25.9,34.25,29.375,24.491666666666664,303.0,300.0,D,D
TehShrike,deepmerge,10.3,0.0,35.1,58.2,7.8,0.0,0.0,61.2,61.2,56.0,86.7,40.7,67.3,0.0,50.2,17.25,32.2,25.900000000000002,39.55,27.566666666666666,434.5,526.0,C,C
ai,nanoid,32.4,18.2,38.1,48.9,24.1,29.8,32.2,66.6,92.0,76.0,90.5,7.8,54.3,28.7,67.8,38.175,45.0,34.4,39.65,37.40833333333333,713.0,813.0,B,A
isaacs,sax-js,5.6,18.8,62.8,86.2,12.1,21.8,18.0,43.7,47.0,64.5,14.4,48.9,50.3,13.2,48.1,23.9,35.4,43.349999999999994,40.125,35.791666666666664,670.0,599.0,B,C
doowb,ansi-colors,8.6,0.0,44.0,81.4,0.6,0.0,0.0,36.9,29.8,20.1,85.1,12.6,40.4,0.0,44.9,9.375,24.8,33.5,24.474999999999998,22.45,228.5,267.0,D,D
prettier,prettier,31.7,31.4,67.5,22.2,35.4,47.8,43.2,76.4,97.3,95.2,79.4,33.8,80.1,46.2,69.8,50.7,55.5,38.199999999999996,57.474999999999994,48.791666666666664,933.0,974.5,A,A
grncdr,merge-stream,31.6,0.0,26.7,77.4,2.8,0.0,0.0,39.5,21.1,13.6,91.7,31.8,35.3,0.0,45.6,10.575,25.4,33.925,28.175,24.224999999999998,292.0,286.5,D,D
estools,escodegen,20.2,0.0,12.8,53.9,8.4,0.0,0.0,62.9,60.9,64.4,86.5,39.8,38.7,0.0,44.8,17.825,28.8,21.725,30.825,23.458333333333332,267.0,403.5,D,C
webpack,webpack-sources,31.7,7.1,31.2,58.8,8.0,4.9,15.2,44.5,23.2,32.8,91.0,31.0,75.3,11.3,37.2,18.15,31.8,32.2,38.7,29.683333333333337,523.0,509.5,C,C
pillarjs,send,19.8,0.0,43.5,52.6,2.9,0.2,0.0,57.7,40.8,55.0,96.8,38.0,45.8,1.2,45.7,15.200000000000001,29.6,28.975,32.675,25.616666666666664,360.0,430.5,D,C
webpack-contrib,terser-webpack-plugin,48.3,24.4,51.0,61.9,19.8,24.7,25.7,55.8,56.9,50.4,89.0,26.8,61.9,27.7,61.9,31.5,44.0,46.4,44.575,40.825,792.0,794.0,B,B
rvagg,through2,24.7,0.0,26.7,56.2,3.0,0.0,0.0,54.0,56.3,44.6,84.5,30.6,40.6,0.0,37.0,14.25,26.9,26.9,27.049999999999997,22.73333333333333,241.0,338.0,D,D
jshttp,accepts,9.9,0.0,19.6,57.4,4.5,0.0,0.0,47.3,23.0,25.1,97.3,43.8,44.6,0.0,32.7,12.95,24.1,21.725,30.275000000000002,21.650000000000002,209.0,249.0,D,D
sindresorhus,log-symbols,31.6,4.2,42.9,75.4,9.5,4.0,15.3,42.2,39.1,20.8,80.0,29.0,34.3,10.4,31.0,17.75,28.9,38.525000000000006,26.175,27.483333333333334,432.0,407.0,C,C
rvagg,bl,13.0,23.9,42.3,56.2,10.3,26.0,17.6,47.8,30.1,34.1,78.9,47.9,33.6,18.8,61.3,25.424999999999997,34.4,33.849999999999994,40.4,33.224999999999994,614.0,582.5,B,C
expressjs,serve-static,17.0,0.0,37.5,57.3,10.1,1.4,0.0,63.2,51.7,56.7,96.7,47.6,44.7,0.0,17.9,18.675,29.0,27.95,27.55,24.724999999999998,316.5,411.5,D,C
component,escape-html,31.6,0.0,20.7,88.6,4.5,0.0,0.0,51.5,31.2,40.2,97.7,37.0,48.4,0.0,27.9,14.0,28.4,35.224999999999994,28.325,25.849999999999998,374.5,389.5,D,D
indutny,node-ip,10.6,0.0,17.2,73.3,11.0,6.0,0.0,36.9,52.5,54.4,3.8,37.0,34.1,3.1,49.1,13.475,24.2,25.275,30.825,23.191666666666666,259.0,252.0,D,D
jshttp,content-type,31.5,0.0,23.3,57.2,4.6,0.0,0.0,38.5,16.8,17.1,95.1,25.1,40.9,0.0,13.5,10.775,21.5,28.0,19.875,19.55,151.0,180.5,F,F
npm,nopt,11.0,24.3,82.7,61.4,9.8,28.1,15.4,49.2,34.3,26.1,85.9,50.3,36.7,26.6,45.9,25.625000000000004,37.1,44.85,39.875,36.78333333333334,692.0,640.0,B,B
expressjs,express,41.2,29.9,55.5,56.9,28.6,26.4,24.7,92.7,98.4,98.2,97.2,77.0,46.9,29.0,73.3,43.099999999999994,53.7,45.875,56.55,48.508333333333326,928.0,951.0,A,A
jshttp,methods,19.7,0.0,14.6,56.6,4.2,0.0,0.0,42.1,19.5,20.2,94.8,33.9,47.2,0.0,30.7,11.575000000000001,23.0,22.725,27.950000000000003,20.750000000000004,178.0,215.0,F,D
jaredhanson,utils-merge,3.6,0.0,50.2,84.3,4.2,0.0,0.0,39.1,13.6,15.2,96.6,30.9,45.2,0.0,6.2,10.825000000000001,23.0,34.525,20.575000000000003,21.975000000000005,217.5,215.0,D,D
