owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
jprichardson,node-fs-extra,43.5,32.3,26.4,32.0,83.2,31.1,47.6,21.6,24.1,50.4,78.5,77.7,3.6,41.8,30.7,6.5,21.2,64.5,62.4,38.9,53.29999999999999,36.65,43.474999999999994,33.5,37.875,729.0,B,690.5,B,0.682562348087844,B,0.5487462286413983,B
isaacs,rimraf,41.8,21.0,24.4,35.4,86.4,26.3,43.1,21.8,14.1,69.8,71.0,63.9,98.5,45.6,35.4,68.4,20.4,17.4,53.7,43.3,77.8,39.199999999999996,41.8,37.95,39.65,771.0,B,794.0,B,0.8367088384835402,B,0.8983724042335951,B
estools,estraverse,24.2,29.8,0.0,12.8,54.2,10.1,30.3,0.0,0.0,55.5,44.8,47.1,94.6,35.5,34.2,48.3,0.0,54.4,34.0,31.0,62.1,23.1,24.200000000000003,34.55,27.28333333333333,451.0,C,507.5,C,-0.2372507471841277,C,-0.07899167753550064,C
sindresorhus,camelcase,32.6,0.0,16.2,39.6,74.7,21.3,32.7,14.2,17.2,51.1,37.7,39.8,95.6,31.4,35.9,36.5,15.6,55.5,32.9,35.2,57.63333333333333,30.433333333333334,32.625,34.75,32.60277777777778,614.0,B,611.0,B,0.22470626237418004,C,0.2547423991661421,C
sindresorhus,path-exists,29.6,0.0,0.0,43.9,74.5,9.0,26.9,0.0,0.0,38.0,18.1,15.9,97.6,20.3,27.4,40.5,0.0,41.9,14.3,26.0,43.79999999999999,17.674999999999997,29.6,25.675,24.316666666666666,338.0,D,330.5,D,-0.49488525695346025,C,-0.4762941497993608,C
isaacs,inherits,27.9,0.0,0.2,24.3,87.1,10.6,27.7,1.6,2.5,52.5,27.9,37.5,99.8,44.8,33.7,80.3,7.8,12.8,25.3,31.2,54.93333333333334,21.683333333333334,27.9,36.425,28.66944444444444,505.0,C,518.0,C,-0.11687657080313812,C,-0.0630995786449463,C
npm,node-which,37.8,0.3,25.8,64.2,61.1,32.0,38.7,30.4,26.9,31.6,25.8,25.4,28.1,47.3,30.7,15.3,32.3,44.4,27.7,33.0,26.333333333333332,30.583333333333336,37.85,34.825,34.419444444444444,653.0,B,563.5,C,0.3824712149857374,C,0.07992931137004342,C
sindresorhus,resolve-from,30.0,0.4,0.0,44.8,74.9,8.5,25.4,0.0,0.0,38.1,17.5,14.3,96.1,24.3,23.5,44.3,0.0,26.2,13.4,25.0,42.6,17.0,30.025,23.7,23.575,303.0,D,297.5,D,-0.5592938843957935,D,-0.5557546442521328,D
jonschlinkert,extend-shallow,26.3,0.0,0.0,23.9,81.1,8.7,26.1,0.0,0.0,32.7,11.5,12.4,86.6,20.2,15.2,37.7,0.0,7.8,10.9,20.7,36.766666666666666,15.716666666666667,26.25,16.425,19.46388888888889,167.0,F,176.5,F,-0.9163154896941197,D,-0.8974347703990526,D
json5,json5,32.0,13.9,2.2,82.5,29.6,13.5,34.1,6.5,0.0,68.9,73.0,57.2,95.7,49.8,46.3,83.8,0.0,55.0,47.9,40.2,75.26666666666667,28.96666666666667,32.050000000000004,47.150000000000006,36.055555555555564,685.0,B,728.5,B,0.5245561646618964,B,0.6520448714300022,B
isaacs,node-mkdirp,35.3,23.5,0.2,30.7,86.7,10.3,27.9,0.5,2.6,45.1,19.4,23.8,95.3,41.9,32.7,53.1,11.9,33.2,17.8,30.9,46.13333333333333,19.28333333333333,35.275000000000006,35.025000000000006,29.861111111111114,548.0,C,503.5,C,-0.013388551429501077,C,-0.08693772698077795,C
sindresorhus,execa,48.0,25.6,25.2,66.0,75.0,38.6,40.6,42.0,33.1,63.2,73.1,56.7,93.5,29.5,41.3,36.9,38.8,48.4,56.1,47.8,74.39999999999999,47.525,47.95,38.4,44.625,860.0,A,861.5,A,1.2687532270573931,B,1.2559446292710692,B
ljharb,qs,39.4,18.0,17.4,73.7,48.5,23.7,33.5,19.4,18.1,68.2,76.9,75.1,98.4,22.4,44.6,42.4,26.1,65.2,58.6,44.0,83.46666666666667,38.61666666666667,39.4,39.025,39.013888888888886,749.0,B,805.5,A,0.7814669819880558,B,0.9539947503505357,B
nodeca,js-yaml,33.8,20.2,7.9,50.0,57.2,10.9,26.8,5.9,0.0,72.2,72.6,78.4,95.2,42.5,36.9,53.3,10.9,46.4,54.0,38.4,82.06666666666666,28.691666666666666,33.825,38.275,33.59722222222222,635.0,B,677.0,B,0.31106689392607206,C,0.5090159814150123,B
browserify,resolve,40.3,19.9,21.7,55.1,64.6,18.6,29.2,23.8,2.7,60.3,40.5,58.6,98.3,43.9,38.9,46.5,15.8,54.4,39.2,39.5,65.76666666666667,30.366666666666667,40.325,40.15,36.94722222222222,706.0,B,709.0,B,0.60199125608133,B,0.5964225253130616,B
websockets,ws,39.6,24.7,27.1,71.0,35.5,32.6,42.0,30.6,25.4,85.5,90.4,91.3,93.0,67.3,49.4,43.2,25.5,79.5,71.4,51.8,91.56666666666666,47.391666666666666,39.575,53.875,46.94722222222222,904.0,A,929.0,A,1.4704221878880694,B,1.5737866070821573,A
nodeca,argparse,33.3,39.3,11.2,25.2,57.3,8.7,21.9,4.0,0.0,50.4,32.9,34.4,95.4,38.8,31.5,47.5,10.8,36.0,25.3,30.9,54.166666666666664,20.016666666666666,33.25,33.275,28.847222222222218,514.0,C,503.5,C,-0.10143779868212947,C,-0.08693772698077795,C
sindresorhus,pify,35.2,0.0,0.0,66.1,74.8,6.2,18.5,0.0,0.0,51.2,53.4,37.1,93.9,20.6,29.1,38.6,0.0,48.9,32.2,30.4,61.36666666666667,19.96666666666667,35.224999999999994,27.025,27.405555555555555,459.5,C,484.0,C,-0.22663659135093409,C,-0.12666797420716397,C
postcss,postcss,36.4,22.3,22.9,48.8,51.6,37.8,44.7,33.8,34.8,83.6,95.0,86.8,94.1,58.5,52.5,48.5,32.6,76.2,73.2,52.6,91.96666666666665,51.31666666666666,36.4,53.95,47.22222222222223,910.0,A,939.5,A,1.4943040385127553,B,1.6373550026443753,A
form-data,form-data,21.4,16.3,0.0,22.4,46.9,11.0,25.8,7.3,0.0,68.0,59.1,61.9,93.4,57.5,36.0,46.6,0.0,61.3,44.0,34.1,71.43333333333334,26.133333333333333,21.4,41.35,29.627777777777776,541.0,C,587.5,C,-0.03365193983832539,C,0.16733585526809278,C
moxystudio,node-cross-spawn,15.1,0.0,0.0,25.6,34.9,6.2,18.6,0.0,0.0,27.7,47.2,34.8,5.8,22.9,31.1,62.2,0.0,30.9,29.4,20.0,30.400000000000002,12.25,15.125,29.0,18.791666666666668,160.0,F,165.0,F,-0.9746933467766837,D,-0.9530571165159929,D
sindresorhus,slash,27.3,0.0,0.0,35.6,73.5,6.9,20.6,0.0,0.0,46.7,26.2,30.4,93.7,36.6,28.1,36.1,5.2,43.1,21.2,27.2,50.0,17.65,27.275,30.25,25.058333333333334,372.0,D,378.5,D,-0.43047662951112703,C,-0.3809415564560344,C
ashtuchkin,iconv-lite,22.9,12.0,0.7,29.5,49.6,11.7,27.5,7.7,0.0,66.2,62.8,61.4,98.6,41.9,31.4,49.0,0.0,45.2,45.3,33.1,74.23333333333333,27.358333333333334,22.950000000000003,34.025,28.111111111111114,486.0,C,566.5,C,-0.16536396449568047,C,0.08787536081532074,C
micromatch,micromatch,28.2,7.5,4.7,62.9,37.7,13.5,31.2,6.6,2.8,59.1,60.9,50.0,96.9,28.6,24.1,36.7,2.5,32.9,41.5,31.2,69.23333333333333,27.458333333333332,28.200000000000003,25.174999999999997,26.944444444444443,435.0,C,518.0,C,-0.2666809065398005,C,-0.0630995786449463,C
sindresorhus,make-dir,38.9,19.1,11.3,49.2,75.9,20.1,31.4,11.1,17.9,40.9,32.7,22.7,94.2,13.8,34.0,43.1,15.4,43.5,25.2,33.5,49.76666666666667,27.54166666666667,38.875,28.95,31.78888888888889,592.0,C,576.0,C,0.15402563375768696,C,0.11965955859642943,C
sindresorhus,globby,47.4,35.6,17.2,60.6,76.1,21.8,36.0,11.2,18.0,60.8,60.0,49.3,93.2,40.6,40.3,36.2,17.9,66.8,43.7,42.6,67.46666666666667,33.16666666666667,47.375,40.375,40.30555555555556,787.0,B,774.0,B,0.89363931067976,B,0.842750058116655,B
broofa,mime,34.5,27.1,29.0,48.8,33.0,24.3,34.6,29.6,8.7,67.8,58.0,66.2,98.2,48.8,35.7,53.3,14.9,38.8,49.5,40.6,74.10000000000001,36.75,34.475,38.95,36.725,700.0,B,735.5,B,0.5826927909300691,B,0.683829069211111,B
minimistjs,minimist,16.1,12.5,9.6,39.8,2.4,23.1,36.3,18.2,14.7,37.4,31.2,19.6,98.7,0.2,39.1,40.3,25.4,51.5,24.6,28.9,49.70000000000001,29.725,16.075,29.349999999999998,25.049999999999997,371.0,D,433.5,C,-0.4312003219542996,C,-0.24585871588632202,C
feross,buffer,36.7,16.2,21.0,43.5,66.2,32.4,41.5,23.6,32.0,57.8,54.7,58.5,89.4,28.4,38.7,36.9,25.4,53.8,48.5,41.4,67.46666666666667,41.141666666666666,36.725,36.125,37.99722222222223,733.0,B,749.5,B,0.6931765039210379,B,0.7473974647733284,B
jprichardson,node-jsonfile,25.1,0.0,0.0,17.2,83.2,7.5,22.6,0.0,0.0,38.3,49.2,61.7,5.9,36.4,20.9,8.0,0.0,54.6,39.5,23.0,40.13333333333333,15.683333333333334,25.1,24.75,21.844444444444445,246.0,D,240.0,D,-0.7095806817612375,D,-0.7146756331576769,D
visionmedia,bytes.js,18.7,0.0,0.0,14.8,60.0,6.1,18.4,0.0,0.0,26.1,31.7,28.4,6.0,38.3,23.1,11.0,0.7,57.5,22.1,18.5,20.566666666666666,9.741666666666667,18.7,26.875,18.438888888888886,147.0,F,141.5,F,-1.0053296602043107,D,-1.072247858195151,D
jshttp,http-errors,21.0,1.2,0.0,25.5,57.4,9.3,23.8,4.1,0.0,53.9,52.9,43.0,98.0,21.6,31.0,42.5,5.8,44.6,35.1,28.8,64.53333333333333,23.10833333333333,21.025,28.625,24.252777777777776,335.0,D,429.0,C,-0.5004335656844479,D,-0.25380476533159907,C
isaacs,node-graceful-fs,41.2,22.2,0.0,56.2,86.6,10.0,25.7,4.2,0.0,38.3,50.0,48.5,11.3,43.4,33.6,48.2,3.2,49.2,36.2,30.8,36.733333333333334,16.658333333333335,41.25,36.0,31.302777777777777,585.0,C,499.5,C,0.11181024123930354,C,-0.09488377642605499,C
webpack,loader-utils,36.7,42.4,17.1,28.5,59.0,20.7,32.0,15.3,14.8,58.1,40.4,49.8,90.9,51.3,51.7,76.1,11.6,67.5,37.0,41.8,60.26666666666667,30.59166666666667,36.75,51.625,39.65555555555556,772.0,B,756.0,B,0.8371913001123221,B,0.779181662554437,B
caolan,async,37.9,29.8,32.8,8.7,80.4,30.9,29.3,32.6,30.7,83.8,94.7,91.9,93.3,55.4,61.5,83.9,29.9,70.6,72.5,53.5,93.30000000000001,46.475,37.925,59.95,48.116666666666674,928.0,A,956.0,A,1.5719803607465803,A,1.70886944765187,A
thlorenz,convert-source-map,37.6,0.0,10.6,62.2,77.6,9.1,14.0,4.4,8.8,44.3,19.1,30.2,94.4,33.4,32.1,39.8,5.4,51.1,19.5,30.8,47.833333333333336,18.758333333333333,37.599999999999994,32.425000000000004,29.594444444444445,540.0,C,499.5,C,-0.036546709611014354,C,-0.09488377642605499,C
cosmiconfig,cosmiconfig,41.7,30.8,24.1,79.5,32.5,31.8,39.6,31.1,24.7,56.5,66.6,46.2,92.0,21.0,52.3,61.3,26.5,69.0,48.2,45.6,68.26666666666667,40.916666666666664,41.725,44.45,42.36388888888889,827.0,A,834.5,A,1.0723913441433135,B,1.0811315414749711,B
dougwilson,nodejs-depd,25.2,1.4,0.0,36.4,63.2,6.1,18.3,0.0,0.0,49.4,26.1,37.8,98.1,35.8,16.0,46.5,0.0,1.5,23.3,24.2,54.0,18.075,25.25,20.95,21.425,227.0,D,270.5,D,-0.7460065347342424,D,-0.6193230398143504,D
facebook,regenerator,41.4,27.7,33.8,57.4,46.7,32.2,33.9,34.5,28.1,57.6,66.9,82.9,33.3,47.5,42.4,35.4,28.7,63.0,60.7,43.4,61.03333333333334,39.38333333333333,41.4,43.650000000000006,41.47777777777778,810.0,A,796.5,B,0.9954387143526613,B,0.9063184536788724,B
sindresorhus,strip-json-comments,39.1,22.1,4.8,55.2,74.2,14.0,23.0,4.2,14.9,48.7,36.3,27.9,93.8,36.9,32.2,37.4,10.2,49.0,26.1,33.5,52.53333333333333,23.658333333333335,39.075,33.375,32.03611111111111,599.0,C,576.0,C,0.1754951762384645,C,0.11965955859642943,C
jonschlinkert,isobject,29.6,0.0,0.0,37.2,81.3,3.6,10.8,0.0,0.0,35.7,15.3,14.5,90.1,23.0,28.8,44.8,0.0,41.5,11.1,24.4,39.86666666666667,12.666666666666668,29.625,27.325,23.20555555555556,291.0,D,280.0,D,-0.5913775827097643,D,-0.6034309409237961,D
jshttp,mime-types,30.1,20.4,3.7,38.7,57.5,9.0,17.4,9.7,0.0,59.6,50.1,43.6,99.2,45.4,31.1,39.4,8.8,45.1,34.2,32.4,64.23333333333333,22.833333333333336,30.075000000000003,34.675,29.194444444444446,527.0,C,548.5,C,-0.07128394688328381,C,0.03225301469838009,C
node-fetch,node-fetch,34.5,18.7,17.2,92.7,9.5,14.7,24.8,17.6,1.7,70.9,77.6,81.6,82.1,42.2,41.8,38.5,9.3,77.6,58.0,40.5,80.43333333333332,31.133333333333333,34.525,41.9,35.85277777777778,677.0,B,733.0,B,0.5069463152113703,B,0.6758830197658336,B
pillarjs,path-to-regexp,30.8,27.5,2.9,40.4,52.5,6.5,11.9,5.8,1.8,71.8,76.3,66.5,95.5,49.0,46.1,73.2,4.7,60.4,49.8,38.8,79.43333333333334,24.733333333333334,30.825000000000003,46.824999999999996,34.12777777777777,646.0,B,686.5,B,0.35714197947470705,C,0.540800179196121,B
jshttp,cookie,40.3,37.8,24.2,42.2,56.9,16.8,16.3,19.0,15.0,61.3,49.9,49.0,96.0,50.3,37.3,38.8,17.4,55.6,38.6,38.9,64.89999999999999,28.799999999999997,40.275,40.525000000000006,36.53333333333333,697.0,B,690.5,B,0.5660478647371063,B,0.5487462286413983,B
evanw,node-source-map-support,21.4,1.5,0.0,20.2,63.8,5.0,11.4,3.7,0.0,40.7,58.5,59.6,6.2,38.5,37.1,47.9,0.0,63.5,41.0,26.1,39.93333333333333,13.758333333333333,21.375,37.475,24.20277777777778,329.0,D,336.5,D,-0.5047757203434813,D,-0.4683481003540835,C
paulmillr,chokidar,27.1,22.8,8.7,40.9,36.2,18.5,28.5,11.2,15.6,75.0,80.0,71.7,97.8,50.5,47.9,54.2,18.1,71.3,56.7,42.1,83.16666666666667,34.61666666666667,27.150000000000002,48.525,36.763888888888886,702.0,B,759.5,B,0.5860700223315394,B,0.803019810890269,B
tooTallNate,proxy-agents,31.8,27.4,18.5,2.8,78.5,38.4,48.0,31.7,35.6,38.6,41.2,56.2,3.2,53.8,35.8,26.4,35.2,45.6,45.3,36.1,33.300000000000004,37.15,31.8,40.25,36.4,693.0,B,631.5,B,0.5544687856463498,B,0.3262568441736368,C
isaacs,once,25.9,1.5,1.1,14.1,87.0,12.4,25.1,2.3,9.8,44.3,21.7,19.3,99.3,37.0,35.8,80.1,6.6,20.7,17.8,29.6,46.6,20.95,25.925,36.099999999999994,27.65833333333333,469.0,C,453.0,C,-0.20468458724137495,C,-0.19023636976938135,C
browserslist,browserslist,23.6,21.1,19.4,39.0,15.0,36.1,46.9,27.4,33.9,67.9,83.0,74.2,94.7,19.8,49.5,49.7,28.9,70.0,64.4,44.3,83.96666666666665,48.041666666666664,23.625,42.1,37.92222222222222,730.0,B,811.0,A,0.6866632719324866,B,0.9778328986863671,B
mrmlnc,fast-glob,46.1,39.2,19.1,82.5,43.5,32.0,40.4,34.5,21.0,54.7,59.4,40.9,91.9,26.4,30.3,40.0,29.9,20.9,44.1,40.8,63.96666666666667,39.96666666666667,46.075,29.299999999999997,38.44722222222222,743.5,B,739.5,B,0.7322558958523409,B,0.6997211681016651,B
sindresorhus,path-is-absolute,35.4,0.0,0.0,67.7,73.7,7.2,21.5,0.0,0.0,35.3,11.9,12.0,99.0,18.4,16.3,43.8,0.0,5.1,10.4,23.5,40.86666666666667,15.591666666666667,35.35,16.825,22.58888888888889,267.0,D,252.0,D,-0.6449308235045136,D,-0.6749453859312908,D
sindresorhus,ansi-escapes,39.8,0.0,1.4,84.1,73.8,8.8,21.7,4.0,0.6,44.2,32.2,27.6,91.6,25.4,29.8,41.3,7.0,41.0,22.9,30.6,50.4,19.174999999999997,39.825,28.674999999999997,29.224999999999998,529.0,C,488.5,C,-0.0686304079249858,C,-0.11077587531660933,C
jquery,esprima,26.0,0.0,0.0,42.6,61.3,6.8,20.5,0.0,0.0,71.7,74.2,77.4,93.6,41.6,50.5,81.6,18.2,51.6,52.8,38.8,81.73333333333333,25.558333333333334,25.975,48.24999999999999,33.26111111111111,627.0,B,686.5,B,0.2818779653847902,C,0.540800179196121,B
npm,ini,39.6,1.5,25.1,70.3,61.4,28.2,29.0,30.4,25.1,59.9,39.7,57.8,92.8,49.2,42.0,38.7,32.2,55.3,41.9,42.4,63.366666666666674,36.96666666666667,39.575,43.85,40.13055555555556,785.0,B,764.5,B,0.8784417693731423,B,0.8268579592261004,B
salesforce,tough-cookie,44.8,27.8,30.3,75.9,45.4,34.7,39.2,38.1,26.7,58.5,43.8,50.7,91.5,47.9,52.4,51.7,29.8,75.8,43.1,47.6,61.9,41.474999999999994,44.85,51.300000000000004,45.875,883.0,A,857.5,A,1.3773070935332357,B,1.2400525303805152,B
jonschlinkert,is-plain-object,33.1,3.9,0.0,47.4,81.2,6.9,20.8,0.0,0.0,38.2,18.2,18.4,89.2,27.1,26.2,45.4,0.0,33.1,14.5,26.1,41.96666666666667,15.691666666666666,33.125,26.4,25.072222222222223,373.0,D,336.5,D,-0.4292704754391732,C,-0.4683481003540835,C
alexei,sprintf.js,25.6,1.6,6.7,59.1,35.1,19.8,26.2,17.2,16.0,39.2,58.1,62.4,3.3,33.0,36.2,46.6,8.0,53.9,46.8,30.2,41.1,25.125,25.625,35.375,28.708333333333332,506.0,C,480.5,C,-0.11349933940166726,C,-0.14256007309771832,C
mafintosh,pump,23.0,0.0,0.0,22.2,69.8,5.9,17.8,0.0,0.0,48.5,44.6,30.8,88.7,30.0,19.7,33.0,0.0,26.0,27.1,24.3,54.6,18.1,23.0,22.25,21.116666666666667,210.0,D,275.0,D,-0.7727831551316168,D,-0.6113769903690732,D
stream-utils,raw-body,27.2,0.0,10.4,43.9,54.5,7.2,17.8,3.8,0.0,46.4,28.4,32.1,95.9,29.2,30.5,41.0,10.5,40.0,22.6,27.8,52.03333333333334,18.408333333333335,27.2,30.175,25.26111111111111,382.0,D,394.0,D,-0.4128667800606017,C,-0.33326525978437105,C
sindresorhus,is-wsl,27.3,20.3,6.8,7.4,74.8,17.4,26.4,9.8,16.1,34.1,19.8,11.0,92.6,12.9,29.6,38.7,12.5,37.7,16.1,27.1,40.93333333333333,23.30833333333333,27.325,25.450000000000003,25.36111111111111,387.0,D,374.0,D,-0.40418247074253416,C,-0.38888760590131144,C
yahoo,serialize-javascript,34.5,19.5,29.0,35.4,54.0,25.5,29.8,20.5,26.1,61.9,61.7,58.4,90.7,36.8,49.1,69.2,20.1,58.0,48.5,42.7,70.26666666666667,36.666666666666664,34.475,46.025000000000006,39.05555555555556,751.0,B,779.0,B,0.7850854442039176,B,0.8506961075619324,B
sindresorhus,read-pkg,29.9,19.7,3.0,20.6,76.2,9.6,21.5,6.1,1.1,36.3,19.0,16.5,85.5,24.2,29.4,35.9,8.5,43.9,15.0,26.3,40.300000000000004,17.25,29.875,28.125,25.083333333333332,374.0,D,348.0,D,-0.4283055521816103,C,-0.4524560014635291,C
indutny,bn.js,35.3,19.6,10.3,37.9,73.4,4.7,12.2,0.8,1.2,54.5,48.7,55.3,82.8,31.1,32.5,32.9,2.1,62.3,36.2,31.7,62.20000000000001,19.1,35.3,32.099999999999994,28.833333333333332,513.0,C,537.0,C,-0.10264395275408301,C,-0.023369331418560273,C
