owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
tj,commander.js,59.2,35.1,32.4,85.9,83.3,40.7,51.9,41.9,28.2,66.3,93.5,88.4,16.1,67.3,44.8,29.4,34.8,70.2,74.2,52.7
isaacs,minimatch,40.9,20.4,15.1,41.6,86.5,22.1,40.7,15.8,9.7,66.2,63.7,57.9,99.6,43.5,41.1,74.2,19.8,29.1,47.9,42.5
isaacs,node-glob,53.6,23.7,25.8,78.3,86.3,31.3,49.6,22.1,22.1,53.2,77.0,71.2,15.2,49.4,34.2,41.0,28.2,33.3,59.8,43.0
sindresorhus,find-up,38.5,21.6,1.6,57.0,73.8,13.1,33.8,3.2,2.3,45.4,35.6,26.1,97.5,22.5,30.7,38.5,2.5,51.1,24.9,31.9
sindresorhus,escape-string-regexp,27.3,,,34.0,75.3,9.2,27.6,,,47.8,35.8,28.2,98.9,28.1,26.8,43.2,,37.0,24.4,27.8
feross,safe-buffer,31.3,19.2,,40.0,66.0,9.5,28.5,,,40.7,27.1,24.1,99.5,12.0,19.5,35.1,,23.4,20.2,25.3
uuidjs,uuid,41.0,32.2,18.8,82.7,30.3,27.0,42.6,21.3,17.1,76.4,85.1,79.4,94.9,46.2,55.5,85.1,28.2,53.0,63.8,50.0
ajv-validator,ajv,41.5,34.5,21.6,88.2,21.9,21.0,44.0,16.7,2.4,75.9,83.8,78.8,96.3,44.5,39.1,47.3,15.1,54.9,61.2,44.4
yargs,yargs-parser,26.2,19.2,11.2,39.2,35.3,14.1,32.2,9.9,,51.1,33.0,46.6,94.0,30.8,40.7,50.1,8.7,63.5,31.2,33.0
acornjs,acorn,17.4,22.4,16.6,7.6,22.8,35.2,50.6,27.9,27.1,72.5,79.6,78.2,96.2,36.0,49.1,42.7,26.6,78.0,64.3,43.5
yargs,yargs,41.9,29.3,28.3,74.8,35.2,32.0,48.9,22.9,24.2,76.8,80.7,81.5,94.5,50.4,49.6,42.9,27.2,78.6,64.7,50.1
jprichardson,node-fs-extra,43.5,32.3,26.4,32.0,83.2,31.1,47.6,21.6,24.1,50.4,78.5,77.7,3.6,41.8,30.7,6.5,21.2,64.5,62.4,38.9
isaacs,rimraf,41.8,21.0,24.4,35.4,86.4,26.3,43.1,21.8,14.1,69.8,71.0,63.9,98.5,45.6,35.4,68.4,20.4,17.4,53.7,43.3
estools,estraverse,24.2,29.8,,12.8,54.2,10.1,30.3,,,55.5,44.8,47.1,94.6,35.5,34.2,48.3,,54.4,34.0,31.0
sindresorhus,camelcase,32.6,,16.2,39.6,74.7,21.3,32.7,14.2,17.2,51.1,37.7,39.8,95.6,31.4,35.9,36.5,15.6,55.5,32.9,35.2
sindresorhus,path-exists,29.6,,,43.9,74.5,9.0,26.9,,,38.0,18.1,15.9,97.6,20.3,27.4,40.5,,41.9,14.3,26.0
isaacs,inherits,27.9,,0.2,24.3,87.1,10.6,27.7,1.6,2.5,52.5,27.9,37.5,99.8,44.8,33.7,80.3,7.8,12.8,25.3,31.2
npm,node-which,37.8,0.3,25.8,64.2,61.1,32.0,38.7,30.4,26.9,31.6,25.8,25.4,28.1,47.3,30.7,15.3,32.3,44.4,27.7,33.0
sindresorhus,resolve-from,30.0,0.4,,44.8,74.9,8.5,25.4,,,38.1,17.5,14.3,96.1,24.3,23.5,44.3,,26.2,13.4,25.0
jonschlinkert,extend-shallow,26.3,,,23.9,81.1,8.7,26.1,,,32.7,11.5,12.4,86.6,20.2,15.2,37.7,,7.8,10.9,20.7
json5,json5,32.0,13.9,2.2,82.5,29.6,13.5,34.1,6.5,,68.9,73.0,57.2,95.7,49.8,46.3,83.8,,55.0,47.9,40.2
isaacs,node-mkdirp,35.3,23.5,0.2,30.7,86.7,10.3,27.9,0.5,2.6,45.1,19.4,23.8,95.3,41.9,32.7,53.1,11.9,33.2,17.8,30.9
sindresorhus,execa,48.0,25.6,25.2,66.0,75.0,38.6,40.6,42.0,33.1,63.2,73.1,56.7,93.5,29.5,41.3,36.9,38.8,48.4,56.1,47.8
ljharb,qs,39.4,18.0,17.4,73.7,48.5,23.7,33.5,19.4,18.1,68.2,76.9,75.1,98.4,22.4,44.6,42.4,26.1,65.2,58.6,44.0
nodeca,js-yaml,33.8,20.2,7.9,50.0,57.2,10.9,26.8,5.9,,72.2,72.6,78.4,95.2,42.5,36.9,53.3,10.9,46.4,54.0,38.4
browserify,resolve,40.3,19.9,21.7,55.1,64.6,18.6,29.2,23.8,2.7,60.3,40.5,58.6,98.3,43.9,38.9,46.5,15.8,54.4,39.2,39.5
websockets,ws,39.6,24.7,27.1,71.0,35.5,32.6,42.0,30.6,25.4,85.5,90.4,91.3,93.0,67.3,49.4,43.2,25.5,79.5,71.4,51.8
nodeca,argparse,33.3,39.3,11.2,25.2,57.3,8.7,21.9,4.0,,50.4,32.9,34.4,95.4,38.8,31.5,47.5,10.8,36.0,25.3,30.9
sindresorhus,pify,35.2,,,66.1,74.8,6.2,18.5,,,51.2,53.4,37.1,93.9,20.6,29.1,38.6,,48.9,32.2,30.4
postcss,postcss,36.4,22.3,22.9,48.8,51.6,37.8,44.7,33.8,34.8,83.6,95.0,86.8,94.1,58.5,52.5,48.5,32.6,76.2,73.2,52.6
form-data,form-data,21.4,16.3,,22.4,46.9,11.0,25.8,7.3,,68.0,59.1,61.9,93.4,57.5,36.0,46.6,,61.3,44.0,34.1
moxystudio,node-cross-spawn,15.1,,,25.6,34.9,6.2,18.6,,,27.7,47.2,34.8,5.8,22.9,31.1,62.2,,30.9,29.4,20.0
sindresorhus,slash,27.3,,,35.6,73.5,6.9,20.6,,,46.7,26.2,30.4,93.7,36.6,28.1,36.1,5.2,43.1,21.2,27.2
ashtuchkin,iconv-lite,22.9,12.0,0.7,29.5,49.6,11.7,27.5,7.7,,66.2,62.8,61.4,98.6,41.9,31.4,49.0,,45.2,45.3,33.1
micromatch,micromatch,28.2,7.5,4.7,62.9,37.7,13.5,31.2,6.6,2.8,59.1,60.9,50.0,96.9,28.6,24.1,36.7,2.5,32.9,41.5,31.2
sindresorhus,make-dir,38.9,19.1,11.3,49.2,75.9,20.1,31.4,11.1,17.9,40.9,32.7,22.7,94.2,13.8,34.0,43.1,15.4,43.5,25.2,33.5
sindresorhus,globby,47.4,35.6,17.2,60.6,76.1,21.8,36.0,11.2,18.0,60.8,60.0,49.3,93.2,40.6,40.3,36.2,17.9,66.8,43.7,42.6
broofa,mime,34.5,27.1,29.0,48.8,33.0,24.3,34.6,29.6,8.7,67.8,58.0,66.2,98.2,48.8,35.7,53.3,14.9,38.8,49.5,40.6
minimistjs,minimist,16.1,12.5,9.6,39.8,2.4,23.1,36.3,18.2,14.7,37.4,31.2,19.6,98.7,0.2,39.1,40.3,25.4,51.5,24.6,28.9
feross,buffer,36.7,16.2,21.0,43.5,66.2,32.4,41.5,23.6,32.0,57.8,54.7,58.5,89.4,28.4,38.7,36.9,25.4,53.8,48.5,41.4
jprichardson,node-jsonfile,25.1,,,17.2,83.2,7.5,22.6,,,38.3,49.2,61.7,5.9,36.4,20.9,8.0,,54.6,39.5,23.0
visionmedia,bytes.js,18.7,,,14.8,60.0,6.1,18.4,,,26.1,31.7,28.4,6.0,38.3,23.1,11.0,0.7,57.5,22.1,18.5
jshttp,http-errors,21.0,1.2,,25.5,57.4,9.3,23.8,4.1,,53.9,52.9,43.0,98.0,21.6,31.0,42.5,5.8,44.6,35.1,28.8
isaacs,node-graceful-fs,41.2,22.2,,56.2,86.6,10.0,25.7,4.2,,38.3,50.0,48.5,11.3,43.4,33.6,48.2,3.2,49.2,36.2,30.8
webpack,loader-utils,36.7,42.4,17.1,28.5,59.0,20.7,32.0,15.3,14.8,58.1,40.4,49.8,90.9,51.3,51.7,76.1,11.6,67.5,37.0,41.8
caolan,async,37.9,29.8,32.8,8.7,80.4,30.9,29.3,32.6,30.7,83.8,94.7,91.9,93.3,55.4,61.5,83.9,29.9,70.6,72.5,53.5
thlorenz,convert-source-map,37.6,,10.6,62.2,77.6,9.1,14.0,4.4,8.8,44.3,19.1,30.2,94.4,33.4,32.1,39.8,5.4,51.1,19.5,30.8
cosmiconfig,cosmiconfig,41.7,30.8,24.1,79.5,32.5,31.8,39.6,31.1,24.7,56.5,66.6,46.2,92.0,21.0,52.3,61.3,26.5,69.0,48.2,45.6
dougwilson,nodejs-depd,25.2,1.4,,36.4,63.2,6.1,18.3,,,49.4,26.1,37.8,98.1,35.8,16.0,46.5,,1.5,23.3,24.2
facebook,regenerator,41.4,27.7,33.8,57.4,46.7,32.2,33.9,34.5,28.1,57.6,66.9,82.9,33.3,47.5,42.4,35.4,28.7,63.0,60.7,43.4
sindresorhus,strip-json-comments,39.1,22.1,4.8,55.2,74.2,14.0,23.0,4.2,14.9,48.7,36.3,27.9,93.8,36.9,32.2,37.4,10.2,49.0,26.1,33.5
jonschlinkert,isobject,29.6,,,37.2,81.3,3.6,10.8,,,35.7,15.3,14.5,90.1,23.0,28.8,44.8,,41.5,11.1,24.4
jshttp,mime-types,30.1,20.4,3.7,38.7,57.5,9.0,17.4,9.7,,59.6,50.1,43.6,99.2,45.4,31.1,39.4,8.8,45.1,34.2,32.4
node-fetch,node-fetch,34.5,18.7,17.2,92.7,9.5,14.7,24.8,17.6,1.7,70.9,77.6,81.6,82.1,42.2,41.8,38.5,9.3,77.6,58.0,40.5
pillarjs,path-to-regexp,30.8,27.5,2.9,40.4,52.5,6.5,11.9,5.8,1.8,71.8,76.3,66.5,95.5,49.0,46.1,73.2,4.7,60.4,49.8,38.8
jshttp,cookie,40.3,37.8,24.2,42.2,56.9,16.8,16.3,19.0,15.0,61.3,49.9,49.0,96.0,50.3,37.3,38.8,17.4,55.6,38.6,38.9
evanw,node-source-map-support,21.4,1.5,,20.2,63.8,5.0,11.4,3.7,,40.7,58.5,59.6,6.2,38.5,37.1,47.9,,63.5,41.0,26.1
paulmillr,chokidar,27.1,22.8,8.7,40.9,36.2,18.5,28.5,11.2,15.6,75.0,80.0,71.7,97.8,50.5,47.9,54.2,18.1,71.3,56.7,42.1
tooTallNate,proxy-agents,31.8,27.4,18.5,2.8,78.5,38.4,48.0,31.7,35.6,38.6,41.2,56.2,3.2,53.8,35.8,26.4,35.2,45.6,45.3,36.1
isaacs,once,25.9,1.5,1.1,14.1,87.0,12.4,25.1,2.3,9.8,44.3,21.7,19.3,99.3,37.0,35.8,80.1,6.6,20.7,17.8,29.6
browserslist,browserslist,23.6,21.1,19.4,39.0,15.0,36.1,46.9,27.4,33.9,67.9,83.0,74.2,94.7,19.8,49.5,49.7,28.9,70.0,64.4,44.3
mrmlnc,fast-glob,46.1,39.2,19.1,82.5,43.5,32.0,40.4,34.5,21.0,54.7,59.4,40.9,91.9,26.4,30.3,40.0,29.9,20.9,44.1,40.8
sindresorhus,path-is-absolute,35.4,,,67.7,73.7,7.2,21.5,,,35.3,11.9,12.0,99.0,18.4,16.3,43.8,,5.1,10.4,23.5
sindresorhus,ansi-escapes,39.8,,1.4,84.1,73.8,8.8,21.7,4.0,0.6,44.2,32.2,27.6,91.6,25.4,29.8,41.3,7.0,41.0,22.9,30.6
jquery,esprima,26.0,,,42.6,61.3,6.8,20.5,,,71.7,74.2,77.4,93.6,41.6,50.5,81.6,18.2,51.6,52.8,38.8
npm,ini,39.6,1.5,25.1,70.3,61.4,28.2,29.0,30.4,25.1,59.9,39.7,57.8,92.8,49.2,42.0,38.7,32.2,55.3,41.9,42.4
salesforce,tough-cookie,44.8,27.8,30.3,75.9,45.4,34.7,39.2,38.1,26.7,58.5,43.8,50.7,91.5,47.9,52.4,51.7,29.8,75.8,43.1,47.6
jonschlinkert,is-plain-object,33.1,3.9,,47.4,81.2,6.9,20.8,,,38.2,18.2,18.4,89.2,27.1,26.2,45.4,,33.1,14.5,26.1
alexei,sprintf.js,25.6,1.6,6.7,59.1,35.1,19.8,26.2,17.2,16.0,39.2,58.1,62.4,3.3,33.0,36.2,46.6,8.0,53.9,46.8,30.2
mafintosh,pump,23.0,,,22.2,69.8,5.9,17.8,,,48.5,44.6,30.8,88.7,30.0,19.7,33.0,,26.0,27.1,24.3
stream-utils,raw-body,27.2,,10.4,43.9,54.5,7.2,17.8,3.8,,46.4,28.4,32.1,95.9,29.2,30.5,41.0,10.5,40.0,22.6,27.8
sindresorhus,is-wsl,27.3,20.3,6.8,7.4,74.8,17.4,26.4,9.8,16.1,34.1,19.8,11.0,92.6,12.9,29.6,38.7,12.5,37.7,16.1,27.1
yahoo,serialize-javascript,34.5,19.5,29.0,35.4,54.0,25.5,29.8,20.5,26.1,61.9,61.7,58.4,90.7,36.8,49.1,69.2,20.1,58.0,48.5,42.7
sindresorhus,read-pkg,29.9,19.7,3.0,20.6,76.2,9.6,21.5,6.1,1.1,36.3,19.0,16.5,85.5,24.2,29.4,35.9,8.5,43.9,15.0,26.3
indutny,bn.js,35.3,19.6,10.3,37.9,73.4,4.7,12.2,0.8,1.2,54.5,48.7,55.3,82.8,31.1,32.5,32.9,2.1,62.3,36.2,31.7
inikulin,parse5,32.7,32.3,31.9,23.5,42.9,30.1,26.8,41.6,22.0,66.5,65.6,57.3,89.3,53.6,51.1,70.5,32.8,50.0,51.0,45.1
zloirock,core-js,38.8,24.5,29.6,78.3,22.8,35.1,35.4,39.0,31.0,82.7,92.4,87.2,91.3,60.0,53.4,78.9,38.1,43.2,71.6,52.5
follow-redirects,follow-redirects,32.2,24.9,14.5,40.6,48.7,21.4,26.9,21.1,16.2,57.1,34.0,47.8,92.5,54.0,44.2,74.8,17.2,40.7,34.4,38.7
sindresorhus,object-assign,30.2,,0.1,44.3,76.4,4.2,11.1,0.3,1.3,52.3,44.9,36.4,98.8,29.3,25.8,46.1,2.2,28.9,28.5,28.1
eemeli,yaml,32.3,21.4,23.7,46.8,37.2,25.0,31.5,21.9,21.7,50.8,47.6,40.1,88.1,27.5,39.9,55.2,28.1,36.4,37.6,37.0
kpdecker,jsdiff,50.0,32.0,27.2,66.2,74.5,30.6,20.6,37.0,34.1,48.4,75.0,70.0,3.4,45.1,47.3,57.5,19.2,65.2,58.5,44.1
beatgammit,base64-js,22.6,1.6,,14.6,74.3,0.4,1.2,,,60.7,42.9,67.7,90.8,41.5,28.6,35.5,,50.4,37.0,28.1
expressjs,body-parser,33.5,20.8,2.7,53.0,57.5,1.6,4.5,0.5,,73.2,70.8,75.3,95.8,50.8,33.3,38.8,10.1,51.2,49.2,35.4
raszi,node-tmp,26.8,1.7,7.5,40.5,57.4,4.6,1.8,10.7,1.4,31.3,39.5,39.3,3.5,42.8,36.4,40.4,9.2,59.5,27.8,24.8
motdotla,dotenv,56.0,39.0,31.6,78.6,74.7,30.7,25.9,32.0,34.2,71.9,88.4,77.8,90.4,31.1,60.4,79.0,32.5,69.7,65.6,54.8
sindresorhus,open,37.7,16.3,12.5,45.4,76.5,20.0,19.4,18.9,21.8,62.6,63.1,55.0,88.0,44.4,38.3,34.1,21.1,59.6,46.0,39.7
sindresorhus,read-pkg-up,36.7,21.5,3.9,44.8,76.7,3.7,2.0,7.7,1.5,22.9,23.2,16.4,28.3,23.9,20.3,16.8,5.8,38.2,14.4,20.9
ljharb,object.assign,26.7,20.1,3.8,34.5,48.2,6.8,4.3,7.7,8.4,37.7,15.5,15.8,92.7,26.7,21.6,41.9,13.1,9.8,12.7,23.2
browserify,node-util,27.3,11.1,,33.8,64.2,1.6,4.7,,,24.5,22.5,36.8,2.5,36.0,16.0,13.9,,34.2,20.3,17.3
pillarjs,finalhandler,24.4,,5.6,39.2,52.9,2.4,0.4,7.0,,46.0,21.1,26.7,96.5,39.8,19.3,46.3,0.7,10.8,16.7,23.0
Gozala,events,27.2,,,32.2,76.5,0.2,0.4,0.1,,61.5,51.5,52.1,92.1,50.5,31.7,38.4,,56.7,34.6,30.1
sindresorhus,figures,34.1,,9.0,51.3,76.2,12.3,5.5,16.3,15.1,41.6,36.1,16.1,82.9,31.2,34.8,35.7,17.4,51.4,21.5,30.7
sindresorhus,decamelize,29.3,,,40.9,76.2,0.2,0.5,,,39.1,22.2,18.1,88.8,27.3,29.7,39.0,,50.1,13.5,24.6
TehShrike,deepmerge,23.4,0.2,,35.4,58.2,2.5,7.5,,,61.2,61.3,56.1,86.7,40.7,39.3,67.3,,50.7,40.0,31.6
ai,nanoid,32.0,22.9,18.4,38.0,48.9,28.7,24.2,29.8,32.1,66.6,92.0,75.9,90.5,8.0,50.2,54.3,28.6,67.8,65.5,44.4
isaacs,sax-js,43.7,7.5,18.8,62.3,86.2,18.9,13.4,21.8,21.5,43.6,47.1,64.5,13.8,48.9,37.7,50.1,14.9,48.1,43.5,36.0
doowb,ansi-colors,31.3,,,43.9,81.4,0.2,0.6,,,36.9,29.8,20.2,85.1,12.6,28.4,40.4,,44.9,16.7,24.2
prettier,prettier,37.6,27.3,31.3,69.4,22.2,42.1,35.3,47.8,43.1,76.4,97.3,95.2,79.4,33.8,65.3,80.1,46.2,69.7,78.2,55.3
grncdr,merge-stream,26.0,,,26.4,77.4,0.9,2.8,,,39.6,21.2,13.9,91.7,31.8,27.0,35.1,,45.8,12.0,23.4
estools,escodegen,23.6,25.7,,14.7,54.1,3.0,9.1,,,62.9,61.0,64.3,86.5,39.8,27.8,38.6,,44.8,42.8,29.3
webpack,webpack-sources,24.2,,7.2,30.9,58.7,9.3,7.9,4.9,15.2,44.6,23.3,33.0,91.0,31.1,41.2,75.3,11.3,37.2,21.9,29.8
pillarjs,send,24.1,,,43.6,52.8,1.0,2.9,0.2,,57.7,40.9,55.2,96.8,38.0,30.8,45.8,1.2,45.3,32.4,28.4
webpack-contrib,terser-webpack-plugin,42.7,33.0,24.5,51.0,62.5,21.7,18.4,24.7,21.9,55.8,57.0,50.5,89.0,26.8,49.8,61.9,25.8,61.9,43.1,42.5
rvagg,through2,20.6,,,26.3,56.2,1.0,3.0,,,54.1,56.4,44.9,84.5,30.6,25.9,40.6,,37.2,34.1,25.4
jshttp,accepts,19.2,0.3,,19.1,57.3,2.0,5.9,,,47.3,23.1,25.2,97.3,43.6,25.8,44.6,,32.6,16.8,23.6
sindresorhus,log-symbols,30.7,,4.4,42.8,75.5,9.6,9.5,4.0,15.3,42.5,39.3,21.1,80.0,29.6,25.0,34.3,10.4,30.2,23.3,26.9
rvagg,bl,30.6,,23.8,42.3,56.2,19.8,11.7,26.0,21.6,47.9,30.2,34.2,78.9,48.2,38.7,33.6,20.8,61.7,28.1,34.2
expressjs,serve-static,26.4,10.7,,37.1,57.7,4.0,10.6,1.4,,63.2,51.8,56.8,96.7,47.6,20.9,44.7,,18.1,37.5,28.6
component,escape-html,27.2,,,20.2,88.6,1.5,4.5,,,51.5,31.3,40.2,97.7,37.0,25.5,48.4,,28.0,24.3,26.4
indutny,node-ip,24.7,8.5,,17.1,73.3,5.6,10.7,6.0,,37.0,52.6,54.5,3.8,37.0,28.9,34.1,3.1,49.6,37.6,24.1
jshttp,content-type,20.0,,,22.9,57.2,1.5,4.6,,,38.8,16.9,17.4,95.1,25.7,17.6,40.9,,11.9,11.9,19.5
npm,nopt,41.9,,24.3,81.9,61.5,17.8,9.8,28.1,15.4,49.1,34.4,26.0,85.9,49.9,36.5,36.7,26.6,46.0,26.1,36.3
expressjs,express,42.6,27.0,29.8,56.0,57.5,26.2,27.9,26.4,24.3,92.7,98.4,98.2,97.2,77.1,49.6,46.9,28.8,73.2,74.3,52.8
jshttp,methods,18.4,,,16.2,57.2,1.4,4.2,,,42.3,19.6,21.0,94.8,33.9,26.1,47.2,,31.1,14.0,22.0
jaredhanson,utils-merge,33.6,,,50.2,84.4,1.4,4.2,,,39.1,13.7,15.3,96.6,30.9,16.9,45.2,,5.5,10.1,22.8
sindresorhus,normalize-url,36.1,22.9,4.1,42.0,75.5,12.5,14.7,9.8,12.9,52.9,42.3,44.6,90.6,34.0,36.2,39.5,11.1,58.1,33.1,34.4
jshttp,fresh,20.3,,,24.3,57.0,1.4,4.3,,,43.4,18.4,19.9,97.0,38.4,31.4,43.5,10.7,40.0,13.2,24.1
pvorb,node-clone,32.7,0.5,,51.6,78.8,1.9,5.8,,,53.2,40.7,46.7,82.5,42.8,29.6,33.3,,55.6,29.8,29.4
SBoudrias,Inquirer.js,46.8,24.5,28.2,82.1,52.2,38.5,39.0,39.3,37.3,78.2,89.0,83.4,81.1,59.2,45.9,51.1,39.7,46.9,70.3,52.4
jshttp,etag,18.9,,,18.7,56.7,3.7,11.2,,,43.9,22.7,21.9,97.4,33.5,19.4,49.6,,8.5,16.1,21.5
dominictarr,through,28.1,,,21.3,91.2,3.7,11.2,,,48.2,38.0,31.0,85.7,38.0,21.7,33.1,,31.9,24.2,25.4
pillarjs,parseurl,17.9,,,18.9,52.7,3.7,11.2,,,40.0,19.9,17.9,97.1,25.1,22.8,42.8,8.4,17.2,13.8,21.1
Raynos,xtend,28.2,,,24.1,88.8,6.0,18.1,,,44.9,25.3,23.4,92.4,38.6,27.1,35.4,,45.8,18.2,26.6
petkaantonov,bluebird,35.2,27.4,,51.2,62.1,5.2,15.5,,,82.1,90.0,91.6,91.1,55.8,47.5,86.3,,56.2,62.3,42.5
jshttp,type-is,21.2,0.5,,27.7,56.4,4.7,12.7,1.4,,45.4,21.9,20.9,95.0,43.6,28.6,45.5,,40.2,15.8,25.0
jestjs,jest,41.6,37.6,27.0,92.5,9.4,49.1,58.4,45.4,43.5,84.0,96.8,96.6,85.8,56.8,58.7,42.4,46.1,87.7,80.8,58.4
webpack,webpack,53.4,44.1,32.2,78.8,58.4,47.5,57.3,44.6,40.7,89.4,98.5,97.2,91.8,70.0,62.1,76.9,42.5,67.1,81.1,63.1
sindresorhus,arrify,27.7,,,35.3,75.5,8.6,25.9,,,34.8,17.2,18.2,80.9,22.8,25.2,39.7,,36.0,14.7,24.1
fb55,htmlparser2,41.6,38.8,29.8,42.2,55.5,36.6,41.7,43.6,24.4,70.0,67.7,68.2,88.4,55.7,44.8,55.1,34.5,44.6,57.5,48.2
justmoon,node-extend,31.5,14.8,0.5,31.4,79.3,11.3,29.3,0.9,3.7,30.5,27.4,33.5,21.9,39.3,19.5,18.6,6.9,33.0,24.1,23.2
typescript-eslint,typescript-eslint,32.2,30.1,29.4,64.7,4.5,51.9,64.0,47.8,43.9,73.8,85.3,92.3,86.1,31.4,65.4,82.0,47.2,67.2,76.5,55.8
jonschlinkert,word-wrap,40.9,23.9,17.2,41.2,81.1,25.5,41.9,21.7,13.0,40.3,19.7,25.7,86.9,28.8,28.4,40.9,8.3,35.9,23.6,33.8
primus,eventemitter3,27.9,32.3,7.3,18.5,53.3,18.3,40.4,10.8,3.8,64.1,63.8,56.6,91.4,44.8,35.3,41.2,6.2,58.4,46.2,36.4
isaacs,node-tar,39.1,13.3,4.6,51.9,86.7,18.0,43.3,6.9,3.9,37.7,41.3,51.3,11.0,47.1,24.1,17.4,18.2,36.5,36.9,29.7
oozcitak,xmlbuilder-js,14.4,,,26.0,31.8,10.9,32.7,,,54.8,44.7,42.0,75.5,57.1,34.1,69.1,,33.2,32.5,28.6
nodeca,pako,23.4,17.5,,18.8,57.1,13.5,40.4,,,64.7,70.5,76.8,84.9,26.6,28.7,46.7,11.2,28.4,53.6,32.6
npm,npmlog,44.5,,24.3,92.4,61.1,25.7,36.7,28.1,12.2,46.4,30.8,30.7,81.4,42.9,39.0,36.6,24.1,56.2,29.1,38.9
zertosh,loose-envify,17.1,,,22.8,45.6,10.9,32.6,,,37.4,24.1,18.3,92.9,14.2,15.9,40.9,,6.9,17.8,20.3
isaacs,json-stringify-safe,27.0,,,21.3,86.6,11.0,33.0,,,45.2,34.7,27.5,84.7,33.8,19.4,41.5,,16.9,24.4,25.6
facebook,prop-types,37.6,22.6,3.7,77.7,46.3,18.2,41.8,8.4,4.5,57.7,68.1,65.9,89.9,6.9,51.5,81.2,8.5,64.9,50.7,41.3
crypto-browserify,randombytes,4.9,0.6,0.5,18.5,,12.4,31.6,0.9,4.6,38.1,14.8,26.2,92.3,18.9,25.8,38.1,2.3,36.9,17.8,20.3
maxogden,concat-stream,8.2,,,32.7,,10.3,31.0,,,48.2,35.9,33.2,86.2,37.4,27.1,37.8,,43.4,26.5,23.4
terkelg,prompts,29.1,25.6,8.2,53.3,29.1,27.7,47.1,15.8,20.1,60.6,77.5,61.8,84.8,18.4,46.7,60.1,15.2,64.8,55.7,41.0
sindresorhus,component-emitter,41.0,24.8,4.6,58.5,76.2,19.6,37.4,9.2,12.3,52.2,36.5,43.4,87.8,41.0,33.9,36.5,9.4,55.8,33.2,36.7
jsdom,jsdom,35.6,21.4,29.0,54.5,37.6,39.2,56.2,34.9,26.5,83.0,89.3,87.4,85.3,69.8,54.5,61.2,30.6,71.8,72.0,53.1
mcavage,node-assert-plus,28.3,1.9,,45.2,66.2,11.2,33.7,,,39.0,16.5,17.0,84.3,38.1,25.8,33.4,,44.1,14.9,26.1
Marak,colors.js,29.9,7.7,,45.0,66.9,12.9,38.8,,,48.5,70.1,69.0,6.8,48.0,36.1,44.4,,64.0,50.7,31.9
tj,co,32.3,2.0,,44.1,83.3,11.8,35.4,,,70.3,81.8,79.2,88.5,31.8,35.9,42.3,,65.3,57.6,37.6
facebook,react,45.9,28.3,32.1,76.5,46.8,51.4,65.2,46.8,42.1,87.5,99.9,99.8,93.1,57.2,77.5,97.3,45.2,89.9,83.7,65.6
moment,moment,38.1,43.7,30.6,30.6,47.5,32.4,52.3,32.5,12.4,79.1,97.2,96.8,77.1,45.4,55.5,64.7,12.5,89.4,75.5,51.3
