owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
tj,commander.js,5.831250000000001,1.3538888888888891,1.39,2.6744444444444446,9.063333333333334,5.0600000000000005,4.256666666666667,4.945,3.336666666666668,0.505,0.22,1.18,0.23,4.15,,6.433333333333334,0.145,1.445,0.9212962962962964
isaacs,minimatch,5.392916666666666,1.0799999999999998,3.37375,3.4716666666666662,8.65,4.890000000000001,2.3266666666666667,5.705,3.19,0.01,0.04,0.14,0.03,4.085,9.24,9.55,0.025,0.84,0.4166666666666666
isaacs,node-glob,5.854166666666666,1.153888888888889,1.28,2.4672222222222224,9.633333333333333,4.714999999999999,3.3633333333333333,5.705,3.296666666666667,0.0349999999999999,0.13,0.38,0.07,4.67,,6.586666666666667,0.075,0.74,0.5346296296296297
sindresorhus,find-up,5.04875,1.0544444444444443,2.65125,3.758888888888889,8.826666666666668,,3.3633333333333333,8.004999999999999,3.1633333333333336,,,0.03,0.01,2.675,7.89,9.296666666666669,,1.98,0.3648148148148147
sindresorhus,escape-string-regexp,2.7295833333333333,1.0522222222222222,2.9375,3.546666666666667,,,2.9133333333333336,8.004999999999999,3.1566666666666667,,,0.03,0.01,3.08,8.63,9.54,,1.1,0.364074074074074
feross,safe-buffer,3.934583333333333,1.0522222222222222,2.9475,3.56,10.0,,2.033333333333333,3.705,3.1566666666666667,,,0.02,0.01,2.54,9.22,9.74,,0.94,0.3607407407407407
uuidjs,uuid,5.313124999999999,1.1088888888888888,3.0475,2.956111111111112,9.71,4.9225,3.58,3.04,3.206666666666667,0.03,0.09,0.64,0.11,4.27,7.17,7.743333333333333,0.065,1.06,0.6196296296296296
ajv-validator,ajv,4.817083333333334,1.1144444444444446,2.8287500000000003,3.385555555555556,6.503333333333333,4.49,5.8,2.475,3.313333333333334,0.03,,0.6,0.11,2.955,7.65,9.196666666666667,0.005,0.955,0.6081481481481482
yargs,yargs-parser,3.755625,0.9983333333333332,2.37375,3.575555555555556,8.87,1.0925,2.0,3.06,2.99,0.005,,0.02,0.02,2.575,6.88,8.896666666666667,,1.83,0.346111111111111
acornjs,acorn,4.5425,1.1155555555555554,2.96875,3.752222222222223,9.71,5.02,0.94,2.5,3.1266666666666665,0.05,0.17,0.46,0.11,3.675,7.63,9.206666666666669,0.09,1.96,0.5618518518518518
yargs,yargs,4.70625,1.0905555555555553,2.74375,3.644444444444445,8.356666666666667,4.115,3.293333333333333,3.06,3.0966666666666662,0.045,0.13,0.49,0.13,3.355,7.0,8.993333333333334,0.07,1.87,0.570185185185185
jprichardson,node-fs-extra,4.968333333333334,1.0733333333333333,1.1225,2.6572222222222224,8.906666666666666,4.62,1.7166666666666668,4.63,3.07,0.02,0.13,0.42,0.1,3.97,,6.666666666666667,0.065,1.24,0.5311111111111111
isaacs,rimraf,5.271041666666667,1.03,3.19375,3.3300000000000005,8.823333333333332,4.7325,1.8233333333333333,5.705,3.03,0.02,0.04,0.25,0.04,4.235,8.25,9.340000000000002,0.025,0.625,0.44
estools,estraverse,3.800416666666667,0.9955555555555554,2.7,3.572777777777778,9.876666666666669,,1.34,3.985,2.9866666666666664,,,0.04,0.02,3.66,7.08,8.993333333333334,,1.725,0.3518518518518518
sindresorhus,camelcase,3.982083333333333,1.0377777777777777,2.59875,3.976111111111111,,4.930000000000001,2.9933333333333336,8.004999999999999,3.013333333333333,0.01,0.09,0.03,0.01,2.9850000000000003,7.37,9.123333333333331,0.045,2.76,0.3592592592592592
sindresorhus,path-exists,2.75625,0.9944444444444444,2.67,3.5161111111111105,,,3.02,8.004999999999999,2.983333333333333,,,0.01,,2.78,7.89,9.293333333333331,,1.255,
isaacs,inherits,1.9145833333333333,0.9944444444444444,3.5275,3.418888888888889,,,1.9533333333333327,5.705,2.983333333333333,,,0.02,0.01,4.18,9.9,9.526666666666667,,0.73,0.3414814814814814
npm,node-which,3.258125,1.038888888888889,1.02125,2.638888888888889,,4.8725000000000005,3.96,4.2,2.8666666666666667,0.08,0.17,0.01,0.01,4.065,,6.666666666666667,0.1,1.15,0.352962962962963
sindresorhus,resolve-from,2.76875,0.9355555555555556,2.66,3.408888888888889,,,3.0700000000000003,8.004999999999999,2.806666666666666,,,0.01,,3.05,7.58,9.186666666666667,,1.04,
jonschlinkert,extend-shallow,2.1725,0.9355555555555556,1.71875,2.848333333333333,,,1.61,7.08,2.806666666666666,,,,,2.955,3.92,7.97,,0.575,
json5,json5,4.405208333333333,0.94,2.87,3.065555555555556,8.663333333333334,2.4975,3.5,2.96,2.82,,,0.28,0.03,3.8,7.37,8.216666666666667,,0.98,0.4166666666666667
isaacs,node-mkdirp,4.070416666666667,0.9355555555555556,2.8375,3.286111111111111,9.993333333333334,,0.5833333333333334,5.705,2.806666666666666,,,0.01,0.01,3.98,7.35,9.073333333333332,,0.785,0.3185185185185185
sindresorhus,execa,6.552291666666667,1.0755555555555556,2.35,3.3572222222222217,9.58,5.2075000000000005,3.4166666666666665,8.004999999999999,2.4366666666666665,0.44,0.35,0.28,0.03,2.6100000000000003,6.48,8.826666666666666,0.24,1.005,0.4618518518518519
ljharb,qs,5.213541666666666,0.8116666666666666,2.93875,3.8166666666666655,9.626666666666669,4.9075,3.15,3.17,2.33,0.015,0.09,0.38,0.09,3.045,8.24,9.41,0.055,1.985,0.4272222222222222
nodeca,js-yaml,3.9327083333333337,0.7655555555555554,2.9325,3.262222222222222,7.953333333333333,2.3625,1.8,3.615,2.2966666666666664,,,0.28,0.11,4.01,7.33,9.076666666666666,,0.71,0.3851851851851852
browserify,resolve,5.122291666666667,0.7805555555555556,3.0725,3.5094444444444446,9.993333333333334,4.8775,1.8533333333333333,3.765,2.306666666666666,0.0349999999999999,,0.03,0.03,4.11,8.12,9.363333333333332,0.005,1.16,0.2801851851851852
websockets,ws,5.053333333333334,0.9305555555555556,2.8875,3.723333333333334,9.923333333333334,4.85,2.3000000000000003,3.14,2.5966666666666667,0.065,0.13,0.95,0.29,4.1,6.21,8.73,0.07,2.37,0.7235185185185186
nodeca,argparse,3.1254166666666667,0.82,2.7975,3.328888888888889,5.73,1.49,1.6666666666666667,3.615,2.46,,,0.02,0.01,3.8,7.36,9.096666666666666,,0.89,0.2833333333333333
sindresorhus,pify,2.75625,0.8188888888888889,2.39125,3.5161111111111114,,,3.02,8.004999999999999,2.4566666666666666,,,0.07,0.01,2.675,6.81,8.933333333333334,,1.615,0.2996296296296296
postcss,postcss,5.0997916666666665,1.058888888888889,3.0,3.6127777777777776,9.626666666666669,5.0275,2.46,3.285,2.6666666666666665,0.12,0.39,1.28,0.2,3.63,6.89,8.923333333333334,0.2,1.715,0.8462962962962964
form-data,form-data,1.7133333333333334,0.8238888888888889,2.66,3.441111111111111,1.653333333333333,,1.47,3.73,2.466666666666667,0.005,,0.1,0.04,4.159999999999999,6.34,8.753333333333332,,1.57,0.3212962962962963
moxystudio,node-cross-spawn,0.9666666666666668,0.8188888888888889,0.7825,1.7644444444444445,,,1.4966666666666668,2.37,2.4566666666666666,,,0.05,0.01,3.07,,4.403333333333333,,0.89,0.292962962962963
sindresorhus,slash,2.7429166666666664,0.8188888888888889,2.5175,3.379444444444444,,,2.966666666666667,8.004999999999999,2.4566666666666666,,,0.01,0.01,3.4,6.65,8.883333333333333,,1.255,0.2796296296296296
ashtuchkin,iconv-lite,3.7658333333333336,0.826111111111111,3.13875,3.477777777777778,7.623333333333334,2.5,1.6900000000000002,3.25,2.473333333333333,0.005,,0.14,0.04,3.975,8.4,9.433333333333334,,1.0,0.3353703703703703
micromatch,micromatch,4.536875,0.8233333333333334,2.70625,3.311666666666667,7.766666666666667,2.4975,4.803333333333334,3.08,2.47,,,0.12,0.02,2.935,7.75,9.25,,0.685,0.3211111111111111
sindresorhus,make-dir,6.509166666666666,0.8616666666666665,2.26125,3.44,9.993333333333334,4.995,3.043333333333333,8.004999999999999,2.49,0.005,0.09,0.02,,2.095,6.93,8.97,0.045,1.305,
sindresorhus,globby,5.570208333333333,0.8672222222222222,2.3825000000000003,3.787777777777778,6.546666666666667,4.4725,3.2566666666666664,8.004999999999999,2.506666666666667,0.005,0.09,0.11,0.02,3.1100000000000003,6.29,8.763333333333334,0.045,2.555,0.3324074074074074
broofa,mime,4.782708333333333,0.8505555555555556,3.185,3.405,9.863333333333332,4.5275,2.27,2.47,2.486666666666667,0.065,,0.09,0.05,4.56,8.04,9.22,,0.995,0.3301851851851852
minimistjs,minimist,4.135208333333333,0.8505555555555556,2.17625,3.607777777777778,8.323333333333332,5.0025,2.66,0.555,2.4966666666666666,0.015,0.04,0.02,,0.225,8.46,9.483333333333334,0.035,1.305,
feross,buffer,3.1085416666666665,0.9683333333333332,2.0325,3.182777777777778,1.836666666666667,4.8325,2.06,3.705,2.58,0.025,0.3,0.08,0.03,3.28,4.74,8.243333333333334,0.15,1.155,0.3594444444444444
jprichardson,node-jsonfile,1.534166666666667,0.8188888888888889,0.94375,2.7788888888888885,,,1.5066666666666668,4.63,2.4566666666666666,,,0.05,0.04,3.685,,6.666666666666667,,1.67,0.302962962962963
visionmedia,bytes.js,1.445,0.8188888888888889,0.95125,2.831111111111112,,,1.34,4.44,2.4566666666666666,,,0.02,0.01,3.775,,6.663333333333334,,1.83,0.2829629629629629
jshttp,http-errors,1.3266666666666669,0.82,2.7662500000000003,3.646111111111111,,,1.4966666666666668,3.81,2.46,,,0.07,0.01,3.005,7.98,9.323333333333332,,1.615,0.3
isaacs,node-graceful-fs,4.348750000000001,0.82,1.04,2.533888888888889,9.973333333333334,,1.7166666666666668,5.705,2.46,,,0.06,0.02,4.08,,6.346666666666667,,1.255,0.3
webpack,loader-utils,4.0754166666666665,0.8405555555555555,2.235,3.2983333333333333,6.0,4.8100000000000005,1.8266666666666669,3.665,2.4766666666666666,0.005,0.04,0.03,0.02,3.67,5.22,7.94,0.02,1.935,0.2968518518518518
caolan,async,4.825,0.9099999999999998,3.09125,3.0255555555555547,8.99,4.55,1.4,4.36,2.38,0.09,0.26,1.28,0.31,4.475,6.3,7.646666666666666,0.135,1.295,0.8333333333333334
thlorenz,convert-source-map,2.4364583333333334,0.7599999999999999,2.62625,3.673333333333333,,2.3575,2.033333333333333,5.355,2.28,,,0.01,0.01,3.515,6.97,8.99,,2.03,0.2599999999999999
cosmiconfig,cosmiconfig,5.27625,0.8655555555555554,2.10125,3.1438888888888887,9.313333333333334,4.949999999999999,3.7366666666666655,3.105,2.3766666666666665,0.09,0.13,0.17,0.02,2.615,5.6,7.826666666666667,0.07,1.535,0.3518518518518518
dougwilson,nodejs-depd,1.5883333333333332,0.7599999999999999,2.78875,3.285555555555556,,,1.8233333333333333,4.529999999999999,2.28,,,0.01,0.01,3.105,8.03,9.336666666666666,,0.52,0.2599999999999999
facebook,regenerator,4.79625,0.9016666666666668,0.9237499999999998,2.6638888888888888,8.136666666666667,4.49,3.643333333333333,2.915,2.36,0.125,0.22,0.17,0.15,3.365,0.01,6.456666666666666,0.115,1.42,0.4072222222222222
sindresorhus,strip-json-comments,5.038958333333333,0.7777777777777778,2.53,3.4716666666666662,6.6433333333333335,2.4875,3.02,8.004999999999999,2.293333333333333,,0.04,0.03,0.01,3.29,6.79,8.93,0.02,1.465,0.2725925925925926
jonschlinkert,isobject,2.1791666666666667,0.7599999999999999,1.98,3.171666666666667,,,1.6366666666666667,7.08,2.28,,,,,3.07,4.85,8.26,,1.255,
jshttp,mime-types,4.092708333333333,0.765,3.0375,3.609444444444444,6.05,4.9875,1.5233333333333334,3.81,2.29,0.005,,0.06,0.02,3.19,8.88,9.623333333333331,,1.2049999999999998,0.2816666666666667
node-fetch,node-fetch,4.777916666666666,0.7861111111111111,1.59125,3.43,7.19,4.855,5.116666666666666,1.95,2.333333333333333,0.025,,0.39,0.14,2.955,2.88,7.62,,2.67,0.4387037037037037
pillarjs,path-to-regexp,3.901875,0.7616666666666666,2.88,3.638333333333333,9.936666666666667,0.0025,1.9833333333333327,3.685,2.28,0.005,,0.36,0.05,3.74,7.37,8.93,,1.985,0.3905555555555555
jshttp,cookie,4.94,0.7827777777777779,2.85,3.656111111111111,9.47,4.55,1.93,3.81,2.293333333333333,0.015,0.04,0.06,0.02,3.8,7.52,9.173333333333334,0.02,1.775,0.2875925925925926
evanw,node-source-map-support,1.295,0.7599999999999999,0.92375,2.81,,,1.5599999999999998,3.62,2.28,,,0.1,0.03,3.565,,6.03,,2.4,0.2966666666666666
paulmillr,chokidar,4.351458333333333,0.7927777777777778,3.07625,4.081666666666667,7.833333333333333,4.987500000000001,2.19,2.395,2.333333333333333,0.005,0.04,0.48,0.07,3.835,7.92,9.2,0.02,3.025,0.4475925925925926
tooTallNate,proxy-agents,4.680833333333334,1.0683333333333334,0.8875,1.2922222222222222,7.78,5.0,0.9333333333333332,5.01,2.69,0.0849999999999999,0.43,0.04,0.03,3.48,,2.8466666666666662,0.225,0.805,0.3794444444444445
isaacs,once,1.79625,0.8366666666666668,3.16125,3.3855555555555554,,,1.4800000000000002,5.705,2.47,,0.04,0.01,,3.715,8.92,9.196666666666667,0.02,0.94,
browserslist,browserslist,4.660000000000001,1.0155555555555555,2.67375,3.5877777777777786,9.566666666666668,4.989999999999999,2.053333333333333,2.03,2.646666666666667,0.05,0.35,0.57,0.09,2.915,7.12,9.003333333333334,0.175,1.585,0.5585185185185185
mrmlnc,fast-glob,4.874375,0.9077777777777776,1.9925,3.057222222222222,8.04,5.0425,3.52,2.895,2.523333333333333,0.11,0.09,0.11,0.01,2.26,5.59,8.526666666666666,0.065,0.58,0.3425925925925925
sindresorhus,path-is-absolute,2.762083333333333,0.8188888888888889,2.8725,3.372777777777778,,,3.043333333333333,8.004999999999999,2.4566666666666666,,,,,2.85,8.64,9.543333333333337,,0.575,
sindresorhus,ansi-escapes,3.579583333333333,0.8188888888888889,2.0625,3.302777777777777,,2.5,3.813333333333333,8.004999999999999,2.4566666666666666,,,0.02,0.01,2.7,5.52,8.503333333333332,,1.405,0.2829629629629629
jquery,esprima,1.3916666666666666,0.8188888888888889,2.715,2.933333333333333,,,1.8166666666666669,3.75,2.4566666666666666,,,0.32,0.1,3.96,6.48,7.989999999999999,0.015,0.795,0.412962962962963
npm,ini,3.275833333333333,0.8444444444444444,2.555,3.3972222222222226,,4.890000000000001,4.013333333333333,4.2,2.3233333333333333,0.08,0.13,0.03,0.03,4.07,6.09,8.696666666666667,0.085,1.41,0.3014814814814815
salesforce,tough-cookie,5.119791666666667,0.9105555555555556,2.3775,3.4744444444444444,9.036666666666669,4.9175,3.28,3.245,2.3766666666666665,0.185,0.17,0.04,0.02,4.0,5.45,8.383333333333333,0.095,1.945,0.3235185185185185
jonschlinkert,is-plain-object,3.005,0.7599999999999999,1.92625,3.087222222222222,3.33,,1.61,7.08,2.28,,,0.01,,2.995,4.7,8.216666666666667,,1.045,
alexei,sprintf.js,2.4289583333333336,0.7844444444444445,0.90625,2.555,,5.0025,1.903333333333333,2.81,2.293333333333333,0.02,0.04,0.09,0.04,3.495,,6.18,0.02,1.465,0.3048148148148148
mafintosh,pump,2.1437500000000003,0.7599999999999999,1.985,3.071111111111112,,,1.5599999999999998,7.015000000000001,2.28,,,0.04,0.01,3.37,4.52,8.173333333333334,,1.04,0.2699999999999999
stream-utils,raw-body,2.639375,0.7599999999999999,2.7125,3.453888888888889,,4.7725,2.01,3.775,2.28,,,0.02,0.01,3.34,7.48,9.156666666666666,,1.2049999999999998,0.2633333333333333
sindresorhus,is-wsl,4.311458333333333,0.7794444444444445,2.02375,3.2922222222222217,6.663333333333334,2.4975,0.08,8.004999999999999,2.293333333333333,0.005,0.04,0.01,,2.115,5.97,8.656666666666666,0.02,1.2,
yahoo,serialize-javascript,4.853958333333333,0.8438888888888888,2.06,3.723333333333334,10.0,3.7275,2.2533333333333334,3.435,2.3366666666666664,0.025,0.17,0.13,0.03,3.02,5.06,8.22,0.085,2.865,0.3346296296296296
sindresorhus,read-pkg,3.726875,0.7616666666666666,1.5837499999999998,3.0794444444444444,6.663333333333334,0.0025,0.2366666666666666,8.004999999999999,2.28,0.005,,0.01,,2.675,3.65,7.883333333333333,,1.355,
indutny,bn.js,5.419583333333333,0.7599999999999999,1.57625,3.227222222222222,10.0,4.95,1.903333333333333,4.825,2.28,,,0.05,0.03,3.135,3.09,7.696666666666666,,1.985,0.2799999999999999
inikulin,parse5,4.376458333333334,0.907777777777778,2.12125,2.9872222222222224,7.793333333333334,4.9975,1.9,2.815,2.1633333333333336,0.43,0.13,0.16,0.03,3.565,4.73,7.996666666666667,0.12,0.845,0.365925925925926
zloirock,core-js,5.231875,1.01,2.5825,2.914444444444444,9.706666666666669,5.1075,3.4133333333333327,2.7,2.27,0.5,0.26,1.07,0.2,3.68,5.38,7.933333333333333,0.21,0.6,0.7600000000000001
follow-redirects,follow-redirects,4.991458333333332,0.7355555555555556,2.4175,3.140555555555556,8.823333333333332,5.007499999999999,1.93,4.205,2.146666666666667,0.02,0.04,0.02,0.02,3.67,5.96,8.356666666666667,0.02,1.045,0.2585185185185185
sindresorhus,object-assign,2.75625,0.7022222222222223,2.9425,3.5472222222222225,,,3.02,8.004999999999999,2.106666666666667,,,0.04,0.01,3.21,8.51,9.496666666666668,,1.145,0.2507407407407407
eemeli,yaml,4.715208333333333,0.7705555555555555,1.5862500000000002,2.8377777777777777,8.763333333333334,4.7725,3.0700000000000003,2.255,2.1966666666666668,0.025,0.09,0.05,0.01,1.925,4.36,7.813333333333333,0.055,0.645,0.2768518518518518
kpdecker,jsdiff,4.812291666666667,0.8611111111111112,1.14625,2.2944444444444447,7.623333333333332,4.9775,2.543333333333333,4.105,2.063333333333333,0.17,0.35,0.34,0.06,4.185,,5.033333333333334,0.175,1.675,0.4203703703703704
beatgammit,base64-js,1.4050000000000002,0.6433333333333333,2.28,3.255555555555556,,,1.4800000000000002,4.140000000000001,1.93,,,0.04,0.05,3.96,5.07,8.356666666666667,,1.41,0.2444444444444444
expressjs,body-parser,5.349583333333333,0.6444444444444445,2.7625,3.5133333333333336,9.993333333333334,5.0,2.7,3.705,1.933333333333333,,,0.24,0.09,3.32,7.4,9.13,,1.41,0.3248148148148148
raszi,node-tmp,2.6425,0.6449999999999999,1.02,2.585555555555555,,4.995,2.14,3.435,1.93,0.005,,0.03,0.01,4.04,,6.536666666666666,,1.22,0.2283333333333333
motdotla,dotenv,5.314375,0.8694444444444445,2.32875,3.2116666666666664,8.853333333333333,4.6875,3.3766666666666665,4.34,2.1333333333333333,0.0849999999999999,0.39,0.83,0.11,3.405,4.97,7.649999999999999,0.2,1.785,0.6031481481481482
sindresorhus,open,5.839583333333334,0.6988888888888889,1.9225,3.828888888888889,7.31,5.000000000000001,3.043333333333333,8.004999999999999,1.9966666666666668,0.01,0.09,0.14,0.03,3.2,4.32,8.106666666666667,0.045,3.335,0.2896296296296296
sindresorhus,read-pkg-up,4.4227083333333335,0.6449999999999999,0.6712499999999999,2.6555555555555554,6.640000000000001,0.0025,3.043333333333333,8.004999999999999,1.93,0.005,,0.01,,2.675,,6.666666666666667,,1.3,
ljharb,object.assign,4.021458333333333,0.6449999999999999,2.3075,3.102777777777778,10.0,0.0025,2.9133333333333336,3.17,1.93,0.005,,,,3.17,6.06,8.683333333333334,,0.625,
browserify,node-util,3.487916666666667,0.6444444444444445,0.825,2.535,8.333333333333334,,1.8533333333333333,3.765,1.933333333333333,,,0.01,0.01,3.28,,6.66,,0.945,0.2214814814814815
pillarjs,finalhandler,2.653125,0.6433333333333333,2.70625,3.298333333333334,,4.9975000000000005,1.93,3.685,1.93,,,0.01,0.01,3.125,7.68,9.22,,0.675,0.2211111111111111
Gozala,events,1.8291666666666668,0.6433333333333333,2.4625,3.332777777777778,,,1.8266666666666669,5.49,1.93,,,0.06,0.02,4.17,5.6,8.533333333333333,,1.465,0.2411111111111111
sindresorhus,figures,4.039375,0.6644444444444445,1.5499999999999998,3.1300000000000003,,5.0025,3.15,8.004999999999999,1.9433333333333327,0.01,0.04,0.03,,3.07,3.1,7.7,0.02,1.67,
sindresorhus,decamelize,2.7495833333333333,0.6433333333333333,1.87125,3.321111111111111,,,2.9933333333333336,8.004999999999999,1.93,,,0.01,,2.885,4.59,8.193333333333333,,1.77,
TehShrike,deepmerge,1.5404166666666668,0.6466666666666667,2.0175,3.145,,,1.7966666666666669,4.365,1.94,,,0.12,0.03,3.9,4.02,7.87,,1.565,0.2655555555555556
ai,nanoid,4.949166666666667,0.8127777777777777,2.04625,3.340555555555555,9.743333333333334,5.03,1.903333333333333,3.12,2.0733333333333333,0.065,0.3,1.04,0.1,2.005,5.04,8.186666666666666,0.155,1.68,0.650925925925926
isaacs,sax-js,4.278958333333334,0.6922222222222222,1.16625,2.469444444444444,4.433333333333334,4.7175,2.26,5.705,1.9666666666666668,0.02,0.09,0.05,0.04,4.575,,6.313333333333333,0.045,1.05,0.2607407407407408
doowb,ansi-colors,1.893333333333333,0.6433333333333333,1.56,2.992222222222223,,,2.1133333333333333,5.46,1.93,,,0.02,,2.58,3.64,7.876666666666668,,1.1,
prettier,prettier,5.060208333333333,2.719444444444445,1.84875,3.6777777777777776,8.316666666666666,5.8625,3.9866666666666655,2.075,3.753333333333333,1.925,2.48,2.18,0.52,2.375,2.32,6.303333333333334,2.415,2.315,1.8064814814814811
grncdr,merge-stream,1.5666666666666669,0.7022222222222223,2.245,3.4277777777777776,,,1.586666666666667,4.68,2.106666666666667,,,0.01,,3.43,5.54,8.513333333333334,,1.77,
estools,escodegen,3.5012500000000006,0.7044444444444444,1.97875,2.938333333333334,8.653333333333334,,1.366666666666667,3.985,2.1133333333333333,,,0.12,0.04,3.865,3.89,7.960000000000001,,0.855,0.2881481481481481
webpack,webpack-sources,2.56875,0.7216666666666667,1.96125,2.9772222222222218,,4.98,1.63,3.665,2.12,0.005,0.04,0.01,0.01,2.595,5.23,7.966666666666666,0.02,0.945,0.2472222222222222
pillarjs,send,1.44375,0.7022222222222223,2.89,3.481666666666667,,,2.09,3.685,2.106666666666667,,,0.04,0.03,3.75,7.74,9.24,,1.2049999999999998,0.2574074074074075
webpack-contrib,terser-webpack-plugin,4.793958333333333,0.7777777777777778,1.61875,2.851111111111112,8.200000000000001,4.7875000000000005,2.623333333333333,3.565,2.1633333333333336,0.04,0.13,0.09,0.02,1.755,4.61,7.253333333333334,0.07,1.23,0.2959259259259259
rvagg,through2,1.2729166666666667,0.7022222222222223,1.7425,3.0594444444444444,,,1.586666666666667,3.505,2.106666666666667,,,0.09,0.02,3.38,3.48,7.823333333333333,,1.355,0.2707407407407408
jshttp,accepts,1.3075,0.7022222222222223,2.7775,3.421666666666667,,,1.42,3.81,2.106666666666667,,,0.01,0.01,3.27,7.82,9.27,,0.995,0.2407407407407407
sindresorhus,log-symbols,3.3745833333333333,0.7200000000000001,1.3737499999999998,2.860555555555555,,2.5,2.9933333333333336,8.004999999999999,2.12,,0.04,0.03,,3.065,2.4,7.466666666666666,0.02,1.095,
rvagg,bl,2.5541666666666667,0.7538888888888889,1.3675,3.240555555555556,,4.835,1.8766666666666667,3.505,2.1366666666666667,0.035,0.09,0.02,0.01,3.46,1.98,7.326666666666667,0.045,2.35,0.2612962962962963
expressjs,serve-static,3.3429166666666665,0.7044444444444444,2.765,3.3572222222222217,7.763333333333333,,1.903333333333333,3.705,2.1133333333333333,,,0.06,0.03,3.25,7.72,9.236666666666666,,0.835,0.2648148148148148
component,escape-html,1.68625,0.7022222222222223,2.9125,3.443333333333334,,,1.42,5.325,2.106666666666667,,,0.02,0.01,3.71,7.91,9.29,,1.04,0.2440740740740741
indutny,node-ip,2.2837500000000004,0.7044444444444444,0.9525,2.956666666666667,3.216666666666667,,1.0933333333333333,4.825,2.1133333333333333,,,0.07,0.03,3.71,,6.63,,2.24,0.2681481481481482
jshttp,content-type,1.3133333333333337,0.7022222222222223,2.5275,3.267777777777777,,,1.4433333333333334,3.81,2.106666666666667,,,0.01,,2.87,7.23,9.073333333333332,,0.73,
npm,nopt,3.309375,0.7416666666666667,1.995,3.035,,4.8675,4.169999999999999,4.2,2.12,0.065,0.04,0.02,0.01,4.19,3.76,7.919999999999999,0.035,1.15,0.2572222222222222
expressjs,express,4.958749999999999,0.8283333333333333,4.33875,3.581111111111111,8.53,4.41,3.1899999999999995,3.705,2.27,0.085,0.13,2.89,1.68,4.965,7.82,9.263333333333334,0.075,1.405,1.7994444444444444
jshttp,methods,1.294166666666667,0.7022222222222223,2.66625,3.373888888888889,,,1.366666666666667,3.81,2.106666666666667,,,0.01,,3.535,7.12,9.026666666666667,,1.095,
jaredhanson,utils-merge,1.9066666666666667,0.7022222222222223,2.7725,3.2661111111111114,,,2.1966666666666668,5.43,2.106666666666667,,,,,3.4,7.69,9.223333333333334,,0.575,
sindresorhus,normalize-url,5.56625,0.7222222222222222,2.005,4.212222222222222,8.766666666666667,2.5,2.9933333333333336,8.004999999999999,2.1266666666666665,,0.04,0.04,0.02,2.91,5.05,8.346666666666666,0.02,4.27,0.2607407407407408
jshttp,fresh,1.32,0.7022222222222223,2.89125,3.487222222222222,,,1.47,3.81,2.106666666666667,,,0.01,,3.775,7.78,9.256666666666666,,1.2049999999999998,
